	Ranking	Artist	Title	Played
0	1	The Beatles	Hey Jude	0
1	2	Paul Mauriat	Love is Blue	0
2	3	Bobby Goldsboro	Honey	0
3	4	Otis Redding	(Sittin' On) The Dock of the Bay	0
4	5	The Rascals	People Got to Be Free	0
5	6	Cream	Sunshine of Your Love	0
6	7	Herb Alpert	This Guy's in Love with You	0
7	8	Hugo Montenegro	The Good, the Bad and the Ugly	0
8	9	Simon & Garfunkel	Mrs. Robinson	0
9	10	Archie Bell & the Drells	Tighten Up	0
10	11	Jeannie C. Riley	Harper Valley PTA	0
11	12	O. C. Smith	Little Green Apples	0
12	13	Tommy James and the Shondells	Mony Mony	0
13	14	The Doors	Hello, I Love You	0
14	15	Gary Puckett & The Union Gap	Young Girl	0
15	16	The Box Tops	Cry Like a Baby	0
16	17	The 5th Dimension	Stoned Soul Picnic”	0
17	18	Hugh Masekela	Grazing in the Grass	0
18	19	The Grass Roots	Midnight Confessions	0
19	20	Sly and the Family Stone	Dance to the Music	0
20	21	Cliff Nobles	The Horse	0
21	22	The Temptations	I Wish It Would Rain	0
22	23	The Delfonics	La-La (Means I Love You)	0
23	24	The Vogues	Turn Around, Look at Me	0
24	25	John Fred & His Playboy Band	Judy in Disguise (With Glasses)	0
25	26	Classics IV	Spooky	0
26	27	The Supremes	Love Child	0
27	28	Merrilee Rush	Angel of the Morning	0
28	29	Georgie Fame	The Ballad of Bonnie and Clyde	0
29	30	Mary Hopkin	Those Were the Days	0
30	31	Steppenwolf	Born to Be Wild	0
31	32	The Intruders	Cowboys to Girls	0
32	33	1910 Fruitgum Company	Simon Says	0
33	34	Gary Puckett & The Union Gap	Lady Willpower	0
34	35	The Rascals	A Beautiful Morning	0
35	36	Sérgio Mendes	The Look of Love	0
36	37	Johnny Nash	Hold Me Tight	0
37	38	Ohio Express	Yummy Yummy Yummy	0
38	39	The Crazy World of Arthur Brown	Fire	0
39	40	The Troggs	Love Is All Around	0
40	41	Gene & Debbe	Playboy	0
41	42	Dionne Warwick	(Theme from) Valley of the Dolls	0
42	43	Mason Williams	Classical Gas	0
43	44	Clarence Carter	Slip Away	0
44	45	The O'Kaysions	Girl Watcher	0
45	46	Aretha Franklin	(Sweet Sweet Baby) Since You've Been Gone	0
46	47	The Lemon Pipers	Green Tambourine	0
47	48	1910 Fruitgum Company	1, 2, 3, Red Light	0
48	49	Friend & Lover	Reach Out of the Darkness	0
49	50	The Rolling Stones	Jumpin' Jack Flash	0
50	51	Richard Harris	MacArthur Park	0
51	52	José Feliciano	Light My Fire	0
52	53	People!	I Love You	0
53	54	Percy Sledge	Take Time to Know Her	0
54	55	Status Quo	Pictures of Matchstick Men	0
55	56	Blue Cheer	Summertime Blues	0
56	57	Marvin Gaye & Tammi Terrell	Ain't Nothing Like the Real Thing	0
57	58	James Brown	I Got the Feelin'	0
58	59	The Bee Gees	I've Gotta Get a Message to You	0
59	60	The Beatles	Lady Madonna	0
60	61	Donovan	Hurdy Gurdy Man	0
61	62	Steppenwolf	Magic Carpet Ride	0
62	63	The Fireballs	Bottle of Wine	0
63	64	The Dells	Stay in My Corner	0
64	65	Willie Mitchell	Soul Serenade	0
65	66	Tom Jones	Delilah	0
66	67	The Human Beinz	Nobody but Me	0
67	68	Sam & Dave	I Thank You	0
68	69	Sérgio Mendes	The Fool on the Hill	0
69	70	The Animals	Sky Pilot	0
70	71	The Cowsills	Indian Lake	0
71	72	Tommy Boyce & Bobby Hart	I Wonder What She's Doing Tonight	0
72	73	Gary Puckett & The Union Gap	Over You	0
73	74	The Lettermen	Goin' Out of My Head/Can't Take My Eyes Off You	0
74	75	Stevie Wonder	Shoo-Be-Doo-Be-Doo-Da-Day	0
75	76	The Irish Rovers	The Unicorn	0
76	77	Vanilla Fudge	You Keep Me Hangin' On	0
77	78	The Beatles	Revolution	0
78	79	Gary Puckett & The Union Gap	Woman, Woman	0
79	80	The Turtles	Elenore	0
80	81	Cream	White Room	0
81	82	Marvin Gaye & Tammi Terrell	You're All I Need to Get By	0
82	83	The Foundations	Baby, Now That I've Found You	0
83	84	The Sweet Inspirations	Sweet Inspiration	0
84	85	Smokey Robinson and the Miracles	If You Can Want	0
85	86	The Mills Brothers	Cab Driver	0
86	87	The Chambers Brothers	Time Has Come Today	0
87	88	Dionne Warwick	Do You Know the Way to San Jose	0
88	89	Simon & Garfunkel	Scarborough Fair	0
89	90	James Brown	Say It Loud – I'm Black and I'm Proud	0
90	91	Manfred Mann	The Mighty Quinn	0
91	92	Shorty Long	Here Comes the Judge	0
92	93	Aretha Franklin	I Say a Little Prayer	0
93	94	Aretha Franklin	Think	0
94	95	Gary Lewis & the Playboys	Sealed with a Kiss	0
95	96	Big Brother and the Holding Company	Piece of My Heart	0
96	97	Creedence Clearwater Revival	Suzie Q.	0
97	98	The American Breed	Bend Me, Shape Me	0
98	99	Jerry Butler	Hey, Western Union Man	0
99	100	Jerry Butler	Never Give You Up	0
