	Ranking	Artist	Title	Played
0	1	Chicago	Look Away	0
1	2	Bobby Brown	My Prerogative	0
2	3	Poison	Every Rose Has Its Thorn	0
3	4	Paula Abdul	Straight Up	0
4	5	Janet Jackson	Miss You Much	0
5	6	Paula Abdul	Cold Hearted	0
6	7	Bette Midler	Wind Beneath My Wings	0
7	8	Milli Vanilli	Girl You Know It's True	0
8	9	Will to Power	Baby, I Love Your Way/Freebird Medley	0
9	10	Anita Baker	Giving You the Best That I Got	0
10	11	Richard Marx	Right Here Waiting	0
11	12	Boy Meets Girl	Waiting For a Star to Fall	0
12	13	Debbie Gibson	Lost in Your Eyes	0
13	14	Gloria Estefan	Don't Wanna Lose You	0
14	15	Warrant	Heaven	0
15	16	Milli Vanilli	Girl I'm Gonna Miss You	0
16	17	Roxette	The Look	0
17	18	Fine Young Cannibals	She Drives Me Crazy	0
18	19	Bobby Brown	On Our Own	0
19	20	Phil Collins	Two Hearts	0
20	21	Milli Vanilli	Blame It on the Rain	0
21	22	Roxette	Listen to Your Heart	0
22	23	Bon Jovi	I'll Be There for You	0
23	24	Simply Red	If You Don't Know Me by Now	0
24	25	Madonna	Like a Prayer	0
25	26	New Kids on the Block	I'll Be Loving You (Forever)	0
26	27	Breathe	How Can I Fall?	0
27	28	Milli Vanilli	Baby Don't Forget My Number	0
28	29	Martika	Toy Soldiers	0
29	30	Paula Abdul	Forever Your Girl	0
30	31	Mike + The Mechanics	The Living Years	0
31	32	The Bangles	Eternal Flame	0
32	33	Tone Loc	Wild Thing	0
33	34	Bad English	When I See You Smile	0
34	35	Cher	If I Could Turn Back Time	0
35	36	Neneh Cherry	Buffalo Stance	0
36	37	Sheriff	When I'm with You	0
37	38	Taylor Dayne	Don't Rush Me	0
38	39	Bon Jovi	Born to Be My Baby	0
39	40	Fine Young Cannibals	Good Thing	0
40	41	Sheena Easton	The Lover in Me	0
41	42	Young MC	Bust a Move	0
42	43	Great White	Once Bitten, Twice Shy	0
43	44	Prince	Batdance	0
44	45	Michael Damian	Rock On	0
45	46	Jody Watley	Real Love	0
46	47	The B-52's	Love Shack	0
47	48	Bobby Brown	Every Little Step	0
48	49	New Kids on the Block	Hangin' Tough	0
49	50	Rod Stewart	My Heart Can't Tell You No	0
50	51	Love and Rockets	So Alive	0
51	52	New Kids on the Block	You Got It (The Right Stuff)	0
52	53	Def Leppard	Armageddon It	0
53	54	Richard Marx	Satisfied	0
54	55	Madonna	Express Yourself	0
55	56	Dino	I Like It	0
56	57	Donny Osmond	Soldier of Love	0
57	58	Tears for Fears	Sowing the Seeds of Love	0
58	59	Madonna	Cherish	0
59	60	White Lion	When the Children Cry	0
60	61	Skid Row	18 and Life	0
61	62	Duran Duran	I Don't Want Your Love	0
62	63	.38 Special	Second Chance	0
63	64	Karyn White	The Way You Love Me	0
64	65	Tone Loc	Funky Cold Medina	0
65	66	The Bangles	In Your Room	0
66	67	Natalie Cole	Miss You Like Crazy	0
67	68	The Cure	Lovesong	0
68	69	Karyn White	Secret Rendezvous	0
69	70	The Jeff Healey Band	Angel Eyes	0
70	71	Guns N' Roses	Patience	0
71	72	Eddie Money	Walk on Water	0
72	73	New Kids on the Block	Cover Girl	0
73	74	Guns N' Roses	Welcome to the Jungle	0
74	75	Surface	Shower Me With Your Love	0
75	76	R.E.M.	Stand	0
76	77	Lita Ford and Ozzy Osbourne	Close My Eyes Forever	0
77	78	Tiffany	All This Time	0
78	79	Cher and Peter Cetera	After All	0
79	80	Bobby Brown	Roni	0
80	81	Aerosmith	Love in an Elevator	0
81	82	Bon Jovi	Lay Your Hands on Me	0
82	83	When in Rome	The Promise	0
83	84	Edie Brickell & New Bohemians	What I Am	0
84	85	Boys Club	I Remember Holding You	0
85	86	Guns N' Roses	Paradise City	0
86	87	Samantha Fox	I Wanna Have Some Fun	0
87	88	Rick Astley	She Wants to Dance with Me	0
88	89	Vanessa Williams	Dreamin'	0
89	90	Babyface	It's No Crime	0
90	91	Alice Cooper	Poison	0
91	92	Donna Summer	This Time I Know It's for Real	0
92	93	Michael Jackson	Smooth Criminal	0
93	94	Deon Estus	Heaven Help Me	0
94	95	Bobby Brown	Rock Wit'cha	0
95	96	Sa-Fire	Thinking of You	0
96	97	Exposé	What You Don't Know	0
97	98	Ann Wilson and Robin Zander	Surrender To Me	0
98	99	Don Henley	The End of the Innocence	0
99	100	Soul II Soul	Keep on Movin'	0
