	Ranking	Artist	Title	Played
0	1	Elvis Presley	All Shook Up	0
1	2	Pat Boone	Love Letters in the Sand	0
2	3	The Diamonds	Little Darlin'	0
3	4	Tab Hunter	Young Love	0
4	5	Jimmy Dorsey	So Rare	0
5	6	Pat Boone	Don't Forbid Me	0
6	7	Guy Mitchell	Singing the Blues	0
7	8	Sonny James	Young Love	0
8	9	Elvis Presley	Too Much	0
9	10	Perry Como	Round and Round	0
10	11	The Everly Brothers	Bye Bye Love	0
11	12	Debbie Reynolds	Tammy	0
12	13	Buddy Knox	Party Doll	0
13	14	Elvis Presley	Teddy Bear	0
14	15	Harry Belafonte	Day-O (The Banana Boat Song)	0
15	16	Elvis Presley	Jailhouse Rock	0
16	17	Marty Robbins	A White Sport Coat (and a Pink Carnation)	0
17	18	The Del-Vikings	Come Go with Me	0
18	19	The Everly Brothers	Wake Up Little Susie	0
19	20	Sam Cooke	You Send Me	0
20	21	The Coasters	Searchin'	0
21	22	Chuck Berry	School Days	0
22	23	Ferlin Husky	Gone	0
23	24	Paul Anka	Diana	0
24	25	Ricky Nelson	A Teenager's Romance	0
25	26	The Tarriers	The Banana Boat Song	0
26	27	Jimmie Rodgers	Honeycomb	0
27	28	Jerry Lee Lewis	Whole Lotta Shakin' Goin On	0
28	29	Gale Storm	Dark Moon	0
29	30	The Crickets	That'll Be the Day	0
30	31	Charlie Gracie	Butterfly	0
31	32	Frankie Laine	Moonlight Gambler	0
32	33	Tommy Sands	Teen-Age Crush	0
33	34	Johnny Mathis	It's Not for Me to Say	0
34	35	The Rays	Silhouettes	0
35	36	Andy Williams	Butterfly	0
36	37	The Easy Riders	Marianne	0
37	38	Fats Domino	I'm Walkin'	0
38	39	Johnny Mathis	Chances Are	0
39	40	Nat King Cole	Send for Me	0
40	41	Russ Hamilton	Rainbow	0
41	42	Ricky Nelson	Be-Bop Baby	0
42	43	Larry Williams	Short Fat Fannie	0
43	44	Jim Lowe	Green Door	0
44	45	Billy Williams	I'm Gonna Sit Right Down and Write Myself a Letter	0
45	46	Patti Page	Old Cape Cod	0
46	47	The Bobbettes	Mr. Lee	0
47	48	Fats Domino	Blueberry Hill	0
48	49	The Del-Vikings	Whispering Bells	0
49	50	Fats Domino	Blue Monday	0
