	Ranking	Artist	Title	Played
0	1	Sam the Sham and the Pharaohs	Wooly Bully	0
1	2	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)	0
2	3	The Rolling Stones	(I Can't Get No) Satisfaction	0
3	4	We Five	You Were on My Mind	0
4	5	The Righteous Brothers	You've Lost That Lovin' Feelin'	0
5	6	Petula Clark	Downtown	0
6	7	The Beatles	Help!	0
7	8	Herman's Hermits	Can't You Hear My Heartbeat	0
8	9	Elvis Presley	Crying in the Chapel	0
9	10	The Temptations	My Girl	0
10	11	The Beach Boys	Help Me, Rhonda	0
11	12	Roger Miller	King of the Road	0
12	13	Jewel Akens	The Birds and the Bees	0
13	14	Mel Carter	Hold Me, Thrill Me, Kiss Me	0
14	15	Junior Walker & the All Stars	Shotgun	0
15	16	Sonny & Cher	I Got You Babe	0
16	17	Gary Lewis & the Playboys	This Diamond Ring	0
17	18	Ramsey Lewis Trio	The 'In' Crowd	0
18	19	Herman's Hermits	Mrs. Brown, You've Got a Lovely Daughter	0
19	20	The Supremes	Stop! In the Name of Love	0
20	21	The Righteous Brothers	Unchained Melody	0
21	22	Herman's Hermits	Silhouettes	0
22	23	The Seekers	I'll Never Find Another You	0
23	24	Jay and the Americans	Cara Mia	0
24	25	The Byrds	Mr. Tambourine Man	0
25	26	Sounds Orchestral	Cast Your Fate to the Wind	0
26	27	Barbara Mason	Yes, I'm Ready	0
27	28	Tom Jones	What's New Pussycat?	0
28	29	Barry McGuire	Eve of Destruction	0
29	30	The McCoys	Hang On Sloopy	0
30	31	The Beatles	Ticket to Ride	0
31	32	Bert Kaempfert	Red Roses for a Blue Lady	0
32	33	James Brown	Papa's Got a Brand New Bag	0
33	34	Wayne Fontana & The Mindbenders	Game of Love	0
34	35	Shirley Ellis	The Name Game	0
35	36	Petula Clark	I Know a Place	0
36	37	The Supremes	Back in My Arms Again	0
37	38	Barbara Lewis	Baby I'm Yours	0
38	39	The Kingsmen	The Jolly Green Giant	0
39	40	Patti Page	Hush, Hush, Sweet Charlotte	0
40	41	Bob Dylan	Like a Rolling Stone	0
41	42	Freddie and the Dreamers	I'm Telling You Now	0
42	43	Gerry and the Pacemakers	Ferry Cross the Mersey	0
43	44	The Righteous Brothers	Just Once in My Life	0
44	45	Johnny Rivers	The Seventh Son	0
45	46	Herman's Hermits	I'm Henry the Eighth, I Am	0
46	47	Horst Jankowski	A Walk in the Black Forest	0
47	48	The Yardbirds	For Your Love	0
48	49	The Beach Boys	California Girls	0
49	50	The Moody Blues	Go Now	0
50	51	Shirley Bassey	Goldfinger	0
51	52	Billy Joe Royal	Down in the Boondocks	0
52	53	Glenn Yarbrough	Baby the Rain Must Fall	0
53	54	The Dave Clark Five	Catch Us If You Can	0
54	55	The Beatles	Eight Days a Week	0
55	56	The Beau Brummels	Just a Little	0
56	57	Ian Whitcomb	You Turn Me On	0
57	58	Marvin Gaye	I'll Be Doggone	0
58	59	Gary Lewis & the Playboys	Save Your Heart for Me	0
59	60	The Kinks	Tired of Waiting for You	0
60	61	Gary Lewis & the Playboys	Count Me In	0
61	62	The Kinks	All Day and All of the Night	0
62	63	Jackie DeShannon	What the World Needs Now Is Love	0
63	64	Tom Jones	It's Not Unusual	0
64	65	Sir Douglas Quintet	She's About a Mover	0
65	66	Sam Cooke	Shake	0
66	67	Herman's Hermits	Wonderful World	0
67	68	Martha and the Vandellas	Nowhere to Run	0
68	69	The Yardbirds	Heart Full of Soul	0
69	70	The Searchers	Love Potion No. 9	0
70	71	Dickey Lee	Laurie (Strange Things Happen)	0
71	72	Sonny & Cher	Baby Don't Go	0
72	73	The Turtles	It Ain't Me Babe	0
73	74	The Zombies	Tell Her No	0
74	75	Peter and Gordon	I Go to Pieces	0
75	76	Vic Dana	Red Roses for a Blue Lady	0
76	77	Patty Duke	Don't Just Stand There	0
77	78	The Miracles	The Tracks of My Tears	0
78	79	Brenda Lee	Too Many Rivers	0
79	80	The Dave Clark Five	I Like It Like That	0
80	81	Bobby Goldsboro	Little Things	0
81	82	Peter and Gordon	True Love Ways	0
82	83	Four Tops	It's the Same Old Song	0
83	84	The Fortunes	You've Got Your Troubles	0
84	85	Joe Tex	Hold What You've Got	0
85	86	The Animals	We Gotta Get Out of This Place	0
86	87	The Beau Brummels	Laugh, Laugh	0
87	88	The Rolling Stones	The Last Time	0
88	89	The Lovin' Spoonful	Do You Believe in Magic	0
89	90	Cher	All I Really Want to Do	0
90	91	Little Anthony and the Imperials	Take Me Back	0
91	92	The Strangeloves	I Want Candy	0
92	93	The Miracles	Ooo Baby Baby	0
93	94	Sonny	Laugh at Me	0
94	95	Roy Head	Treat Her Right	0
95	96	Jack Jones	The Race Is On	0
96	97	Dino, Desi & Billy	I'm a Fool	0
97	98	The Ad Libs	The Boy from New York City	0
98	99	Del Shannon	Keep Searchin' (We'll Follow the Sun)	0
99	100	Marvin Gaye	How Sweet It Is (To Be Loved by You)	0
