	Ranking	Artist	Title	Played
0	1	Mark Ronson featuring Bruno Mars	Uptown Funk	0
1	2	Ed Sheeran	Thinking Out Loud	0
2	3	Wiz Khalifa featuring Charlie Puth	See You Again	0
3	4	Fetty Wap	Trap Queen	0
4	5	Maroon 5	Sugar	0
5	6	Walk the Moon	Shut Up and Dance	0
6	7	Taylor Swift	Blank Space	0
7	8	Silentó	Watch Me	0
8	9	The Weeknd	Earned It	0
9	10	The Weeknd	The Hills	0
10	11	OMI	Cheerleader (Felix Jaehn Remix)	0
11	12	The Weeknd	Can't Feel My Face	0
12	13	Ellie Goulding	Love Me Like You Do	0
13	14	Hozier	Take Me to Church	0
14	15	Taylor Swift featuring Kendrick Lamar	Bad Blood	0
15	16	Major Lazer and DJ Snake featuring MØ	Lean On	0
16	17	Jason Derulo	Want to Want Me	0
17	18	Taylor Swift	Shake It Off	0
18	19	Skrillex and Diplo (Jack Ü) featuring Justin Bieber	Where Are Ü Now	0
19	20	Rachel Platten	Fight Song	0
20	21	Fetty Wap featuring Remy Boyz	679	0
21	22	Meghan Trainor	Lips Are Movin	0
22	23	Fifth Harmony featuring Kid Ink	Worth It	0
23	24	Omarion featuring Chris Brown and Jhené Aiko	Post to Be	0
24	25	Andy Grammer	Honey, I'm Good.	0
25	26	Sam Smith	I'm Not the Only One	0
26	27	Selena Gomez featuring ASAP Rocky	Good for You	0
27	28	Meghan Trainor	All About That Bass	0
28	29	Taylor Swift	Style	0
29	30	Drake	Hotline Bling	0
30	31	David Guetta featuring Nicki Minaj, Bebe Rexha and Afrojack	Hey Mama	0
31	32	Flo Rida featuring Sage the Gemini and Lookas	G.D.F.R.	0
32	33	Justin Bieber	What Do You Mean?	0
33	34	Ed Sheeran	Photograph	0
34	35	Adele	Hello	0
35	36	Shawn Mendes	Stitches	0
36	37	Tove Lo	Talking Body	0
37	38	Nick Jonas	Jealous	0
38	39	Pitbull and Ne-Yo	Time of Our Lives	0
39	40	R. City featuring Adam Levine	Locked Away	0
40	41	Natalie La Rose featuring Jeremih	Somebody	0
41	42	Rihanna, Kanye West and Paul McCartney	FourFiveSeconds	0
42	43	Fall Out Boy	Centuries	0
43	44	Fetty Wap featuring Monty	My Way	0
44	45	Sam Hunt	Take Your Time	0
45	46	Maroon 5	Animals	0
46	47	Big Sean featuring E-40	I Don't Fuck with You	0
47	48	Rihanna	Bitch Better Have My Money	0
48	49	Rich Homie Quan	Flex (Ooh, Ooh, Ooh)	0
49	50	T-Wayne	Nasty Freestyle	0
50	51	Nicki Minaj featuring Drake, Lil Wayne and Chris Brown	Only	0
51	52	Sia	Elastic Heart	0
52	53	Demi Lovato	Cool for the Summer	0
53	54	X Ambassadors	Renegades	0
54	55	Usher featuring Juicy J	I Don't Mind	0
55	56	Ariana Grande and The Weeknd	Love Me Harder	0
56	57	Taylor Swift	Wildest Dreams	0
57	58	Sam Smith	Stay with Me	0
58	59	DJ Snake and AlunaGeorge	You Know You Like It	0
59	60	Fall Out Boy	Uma Thurman	0
60	61	Beyoncé	7/11	0
61	62	Selena Gomez	The Heart Wants What It Wants	0
62	63	Little Big Town	Girl Crush	0
63	64	Trey Songz	Slow Motion	0
64	65	One Direction	Drag Me Down	0
65	66	Nicki Minaj featuring Drake and Lil Wayne	Truffle Butter	0
66	67	Ariana Grande	One Last Time	0
67	68	Nick Jonas	Chains	0
68	69	Meek Mill featuring Chris Brown and Nicki Minaj	All Eyes on You	0
69	70	Rae Sremmurd	No Type	0
70	71	Vance Joy	Riptide	0
71	72	Jidenna featuring Roman GianArthur	Classic Man	0
72	73	Elle King	Ex's & Oh's	0
73	74	Meghan Trainor	Dear Future Husband	0
74	75	Charlie Puth featuring Meghan Trainor	Marvin Gaye	0
75	76	Meghan Trainor featuring John Legend	Like I'm Gonna Lose You	0
76	77	Tove Lo	Habits (Stay High)	0
77	78	James Newton Howard featuring Jennifer Lawrence	The Hanging Tree	0
78	79	O.T. Genasis	CoCo	0
79	80	Jessie J, Ariana Grande and Nicki Minaj	Bang Bang	0
80	81	Sam Smith	Lay Me Down	0
81	82	ILoveMakonnen featuring Drake	Tuesday	0
82	83	iLoveMemphis	Hit the Quan	0
83	84	Macklemore & Ryan Lewis f. Eric Nally, Melle Mel, Kool Moe Dee and Grandmaster Caz	Downtown	0
84	85	Sam Hunt	House Party	0
85	86	Chris Brown and Tyga	Ayo	0
86	87	Luke Bryan	Kick the Dust Up	0
87	88	Big Sean featuring Drake and Kanye West	Blessings	0
88	89	George Ezra	Budapest	0
89	90	Sia	Chandelier	0
90	91	Kelly Clarkson	Heartbeat Song	0
91	92	Ed Sheeran	Don't	0
92	93	Ella Henderson	Ghost	0
93	94	Alessia Cara	Here	0
94	95	Mr Probz	Waves (Robin Schulz Remix)	0
95	96	Nicky Jam and Enrique Iglesias	El Perdón	0
96	97	Ne-Yo featuring Juicy J	She Knows	0
97	98	One Direction	Night Changes	0
98	99	Drake	Back to Back	0
99	100	Calvin Harris and Disciples	How Deep Is Your Love	0
