	Ranking	Artist	Title	Played
0	1	Beyoncé	Irreplaceable	0
1	2	Rihanna featuring Jay-Z	Umbrella	0
2	3	Gwen Stefani featuring Akon	The Sweet Escape	0
3	4	Fergie	Big Girls Don't Cry	0
4	5	T-Pain featuring Yung Joc	Buy U a Drank (Shawty Snappin')	0
5	6	Carrie Underwood	Before He Cheats	0
6	7	Plain White T's	Hey There Delilah	0
7	8	Akon featuring Snoop Dogg	I Wanna Love You	0
8	9	Nelly Furtado	Say It Right	0
9	10	Fergie featuring Ludacris	Glamorous	0
10	11	Akon	Don't Matter	0
11	12	Avril Lavigne	Girlfriend	0
12	13	Maroon 5	Makes Me Wonder	0
13	14	Shop Boyz	Party Like a Rockstar	0
14	15	Akon featuring Eminem	Smack That	0
15	16	Mims	This Is Why I'm Hot	0
16	17	Daughtry	It's Not Over	0
17	18	Timbaland featuring Keri Hilson	The Way I Are	0
18	19	Fergie featuring will.i.am	Fergalicious	0
19	20	Soulja Boy Tell 'Em	Crank That (Soulja Boy)	0
20	21	Timbaland featuring Nelly Furtado and Justin Timberlake	Give It to Me	0
21	22	Justin Timberlake	What Goes Around... Comes Around	0
22	23	Gym Class Heroes featuring Patrick Stump	Cupid's Chokehold	0
23	24	The Fray	How to Save a Life	0
24	25	Daughtry	Home	0
25	26	Justin Timberlake featuring T.I.	My Love	0
26	27	Kanye West	Stronger	0
27	28	Jim Jones	We Fly High	0
28	29	Pink	U + Ur Hand	0
29	30	Unk	Walk It Out	0
30	31	Sean Kingston	Beautiful Girls	0
31	32	Fall Out Boy	This Ain't a Scene, It's an Arms Race	0
32	33	T-Pain featuring Akon	Bartender	0
33	34	Huey	Pop, Lock & Drop It	0
34	35	Ludacris featuring Mary J. Blige	Runaway Love	0
35	36	Nickelback	Rockstar	0
36	37	Fall Out Boy	Thnks fr th Mmrs	0
37	38	Linkin Park	What I've Done	0
38	39	Justin Timberlake	Summer Love	0
39	40	Lloyd featuring Lil Wayne	You	0
40	41	Elliott Yamin	Wait for You	0
41	42	Diddy featuring Keyshia Cole	Last Night	0
42	43	Fat Joe featuring Lil Wayne	Make It Rain	0
43	44	Fabolous featuring Ne-Yo	Make Me Better	0
44	45	Omarion	Ice Box	0
45	46	Hinder	Lips of an Angel	0
46	47	John Mayer	Waiting on the World to Change	0
47	48	Robin Thicke	Lost Without U	0
48	49	R. Kelly featuring T.I. and T-Pain	I'm a Flirt	0
49	50	Nickelback	If Everyone Cared	0
50	51	Lloyd	Get It Shawty	0
51	52	The Red Jumpsuit Apparatus	Face Down	0
52	53	Baby Boy da Prince	The Way I Live	0
53	54	Bow Wow featuring Chris Brown and Johntá Austin	Shortie Like Mine	0
54	55	The All-American Rejects	It Ends Tonight	0
55	56	Hurricane Chris	A Bay Bay	0
56	57	Ne-Yo	Because of You	0
57	58	Bone Thugs-n-Harmony featuring Akon	I Tried	0
58	59	My Chemical Romance	Welcome To The Black Parade	0
59	60	Plies featuring T-Pain	Shawty	0
60	61	Snow Patrol	Chasing Cars	0
61	62	Beyoncé and Shakira	Beautiful Liar	0
62	63	Justin Timberlake featuring Timbaland	SexyBack	0
63	64	Avril Lavigne	Keep Holding On	0
64	65	Keyshia Cole featuring Missy Elliott and Lil' Kim	Let It Go	0
65	66	OneRepublic	Apologize	0
66	67	Colbie Caillat	Bubbly	0
67	68	Ciara	Like a Boy	0
68	69	Pink	Who Knew	0
69	70	Kelly Clarkson	Never Again	0
70	71	Ciara	Promise	0
71	72	J. Holiday	Bed	0
72	73	Rich Boy featuring Polow da Don	Throw Some D's	0
73	74	Amy Winehouse	Rehab	0
74	75	T.I.	Big Shit Poppin' (Do It)	0
75	76	Alicia Keys	No One	0
76	77	Boys Like Girls	The Great Escape	0
77	78	Unk	2 Step	0
78	79	Paula DeAnda featuring The D.E.Y.	Walk Away (Remember Me)	0
79	80	Young Jeezy featuring R. Kelly	Go Getta	0
80	81	Hellogoodbye	Here (In Your Arms)	0
81	82	Pretty Ricky	On the Hotline	0
82	83	Gwen Stefani	Wind It Up	0
83	84	Baby Bash featuring T-Pain	Cyclone	0
84	85	Rihanna featuring Sean Paul	Break It Off	0
85	86	Lifehouse	First Time	0
86	87	50 Cent featuring Justin Timberlake and Timbaland	Ayo Technology	0
87	88	Bow Wow featuring T-Pain and Johntá Austin	Outta My System	0
88	89	Taylor Swift	Teardrops on My Guitar	0
89	90	Rihanna	Shut Up and Drive	0
90	91	Red Hot Chili Peppers	Snow (Hey Oh)	0
91	92	Ludacris featuring Pharrell	Money Maker	0
92	93	Chris Brown featuring T-Pain	Kiss Kiss	0
93	94	Nickelback	Far Away	0
94	95	Crime Mob and Lil' Scrappy	Rock Yo Hips	0
95	96	Justin Timberlake	LoveStoned	0
96	97	Hinder	Better than Me	0
97	98	Finger Eleven	Paralyzer	0
98	99	Snoop Dogg featuring R. Kelly	That's That	0
99	100	R. Kelly featuring Usher	Same Girl	0
