	Ranking	Artist	Title	Played
0	1	Percy Faith	Theme from A Summer Place	0
1	2	Jim Reeves	He'll Have to Go	0
2	3	The Everly Brothers	Cathy's Clown	0
3	4	Johnny Preston	Running Bear	0
4	5	Mark Dinning	Teen Angel	0
5	6	Brenda Lee	I'm Sorry	0
6	7	Elvis Presley	It's Now or Never	0
7	8	Jimmy Jones	Handy Man	0
8	9	Elvis Presley	Stuck on You	0
9	10	Chubby Checker	The Twist	0
10	11	Connie Francis	Everybody's Somebody's Fool	0
11	12	Bobby Rydell	Wild One	0
12	13	The Brothers Four	Greenfields	0
13	14	Jack Scott	What in the World's Come Over You	0
14	15	Marty Robbins	El Paso	0
15	16	The Hollywood Argyles	Alley Oop	0
16	17	Connie Francis	My Heart Has a Mind of Its Own	0
17	18	Brenda Lee	Sweet Nothin's	0
18	19	Brian Hyland	Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini	0
19	20	Roy Orbison	Only the Lonely	0
20	21	Dion and the Belmonts	Where or When	0
21	22	Connie Stevens	Sixteen Reasons	0
22	23	Paul Anka	Puppy Love	0
23	24	Frankie Avalon	Why	0
24	25	The Ventures	Walk, Don't Run	0
25	26	The Drifters	Save the Last Dance for Me	0
26	27	Dinah Washington & Brook Benton	Baby (You've Got What It Takes)	0
27	28	Johnny Horton	Sink the Bismarck	0
28	29	Sam Cooke	Chain Gang	0
29	30	The Everly Brothers	Let It Be Me	0
30	31	Jimmy Jones	Good Timin'	0
31	32	Bobby Darin	Beyond the Sea	0
32	33	Jimmy Clanton	Go, Jimmy, Go	0
33	34	Jackie Wilson	Night	0
34	35	Jack Scott	Burning Bridges	0
35	36	Toni Fisher	The Big Hurt	0
36	37	Duane Eddy	Because They're Young	0
37	38	Conway Twitty	Lonely Blue Boy	0
38	39	Steve Lawrence	Pretty Blue Eyes	0
39	40	Freddy Cannon	Way Down Yonder in New Orleans	0
40	41	Anita Bryant	Paper Roses	0
41	42	Larry Verne	Mr. Custer	0
42	43	Brenda Lee	I Want to Be Wanted	0
43	44	The Fendermen	Mule Skinner Blues	0
44	45	Johnny Preston	Cradle of Love	0
45	46	Marv Johnson	You Got What It Takes	0
46	47	Hank Locklin	Please Help Me, I'm Falling	0
47	48	Ron Holden	Love You So	0
48	49	Hank Ballard & The Midnighters	Finger Poppin' Time	0
49	50	The Platters	Harbor Lights	0
50	51	Billy Bland	Let the Little Girl Dance	0
51	52	Jeanne Black	He'll Have to Stay	0
52	53	Ferrante & Teicher	Theme from The Apartment	0
53	54	Bobby Rydell	Volare	0
54	55	Jimmy Charles	A Million to One	0
55	56	Andy Williams	The Village of St. Bernadette	0
56	57	Bill Black's Combo	White Silver Sands	0
57	58	The Browns	The Old Lamp-Lighter	0
58	59	Bobby Vee	Devil or Angel	0
59	60	The Four Preps	Down by the Station	0
60	61	The Little Dippers	Forever	0
61	62	The Safaris & The Phantom's Band	Image of a Girl	0
62	63	Brook Benton	Kiddio	0
63	64	Donnie Brooks	Mission Bell	0
64	65	Marv Johnson	I Love the Way You Love	0
65	66	Paul Anka	It's Time to Cry	0
66	67	Ray Peterson	Tell Laura I Love Her	0
67	68	Connie Francis	Mama	0
68	69	Steve Lawrence	Footsteps	0
69	70	The Everly Brothers	So Sad	0
70	71	Brenda Lee	That's All You Gotta Do	0
71	72	Fats Domino	Walking to New Orleans	0
72	73	Connie Francis	Among My Souvenirs	0
73	74	Bobby Rydell	Swingin' School	0
74	75	Dinah Washington & Brook Benton	A Rockin' Good Way (to Mess Around and Fall in Love)	0
75	76	Neil Sedaka	Stairway to Heaven	0
76	77	Paul Anka	My Home Town	0
77	78	Ray Charles	Georgia on My Mind	0
78	79	Skip & Flip	Cherry Pie	0
79	80	Sam Cooke	Wonderful World	0
80	81	Spencer Ross	Tracy's Theme	0
81	82	Lloyd Price	Lady Luck	0
82	83	The Crests	Step by Step	0
83	84	Paul Evans	Happy-Go-Lucky Me	0
84	85	Ricky Nelson	Young Emotions	0
85	86	Johnny Burnette	Dreamin'	0
86	87	Johnny Tillotson	Poetry in Motion	0
87	88	Annette Funicello	O Dio Mio	0
88	89	Joe Jones	You Talk Too Much	0
89	90	Johnny and the Hurricanes	Beatnik Fly	0
90	91	The Everly Brothers	When Will I Be Loved	0
91	92	Bob Luman	Let's Think About Living	0
92	93	Guy Mitchell	Heartaches by the Number	0
93	94	Anita Bryant	My Little Corner of the World	0
94	95	Jackie Wilson	Doggin' Around	0
95	96	Bobby Rydell	Little Bitty Girl	0
96	97	Barrett Strong	Money (That's What I Want)	0
97	98	Maurice Williams and the Zodiacs	Stay	0
98	99	Charlie Rich	Lonely Weekends	0
99	100	Larry Hall	Sandy	0
