	Ranking	Artist	Title	Played
0	1	Tony Orlando and Dawn	Tie a Yellow Ribbon Round the Ole Oak Tree	0
1	2	Jim Croce	Bad, Bad Leroy Brown	0
2	3	Roberta Flack	Killing Me Softly with His Song	0
3	4	Marvin Gaye	Let's Get It On	0
4	5	Paul McCartney & Wings	My Love	0
5	6	Kris Kristofferson	Why Me	0
6	7	Elton John	Crocodile Rock	0
7	8	Billy Preston	Will It Go Round in Circles	0
8	9	Carly Simon	You're So Vain	0
9	10	Diana Ross	Touch Me in the Morning	0
10	11	Vicki Lawrence	The Night the Lights Went Out in Georgia	0
11	12	Clint Holmes	Playground in My Mind	0
12	13	Stories	Brother Louie	0
13	14	Helen Reddy	Delta Dawn	0
14	15	Billy Paul	Me and Mrs. Jones	0
15	16	The Edgar Winter Group	Frankenstein	0
16	17	Dobie Gray	Drift Away	0
17	18	Sweet	Little Willy	0
18	19	Stevie Wonder	You Are the Sunshine of My Life	0
19	20	Cher	Half-Breed	0
20	21	The Isley Brothers	That Lady	0
21	22	Sylvia Robinson	Pillow Talk	0
22	23	Grand Funk Railroad	We're an American Band	0
23	24	Dr. John	Right Place Wrong Time	0
24	25	Skylark	Wildflower	0
25	26	Stevie Wonder	Superstition	0
26	27	Paul Simon	Loves Me Like a Rock	0
27	28	Maureen McGovern	The Morning After	0
28	29	John Denver	Rocky Mountain High	0
29	30	Stealers Wheel	Stuck in the Middle with You	0
30	31	Three Dog Night	Shambala	0
31	32	The O'Jays	Love Train	0
32	33	Barry White	I'm Gonna Love You Just a Little More Baby	0
33	34	Tony Orlando and Dawn	Say, Has Anybody Seen My Sweet Gypsy Rose	0
34	35	Eddie Kendricks	Keep on Truckin'	0
35	36	Anne Murray	Danny's Song	0
36	37	King Harvest	Dancing in the Moonlight	0
37	38	Bobby 'Boris' Pickett	Monster Mash	0
38	39	Bloodstone	Natural High	0
39	40	Seals and Crofts	Diamond Girl	0
40	41	The Doobie Brothers	Long Train Runnin'	0
41	42	George Harrison	Give Me Love (Give Me Peace on Earth)	0
42	43	Sly & the Family Stone	If You Want Me to Stay	0
43	44	Jermaine Jackson	Daddy's Home	0
44	45	Gladys Knight & the Pips	Neither One of Us (Wants to Be the First to Say Goodbye)	0
45	46	New York City	I'm Doin' Fine Now	0
46	47	The Spinners	Could It Be I'm Falling in Love	0
47	48	Elton John	Daniel	0
48	49	Gladys Knight & the Pips	Midnight Train to Georgia	0
49	50	Deep Purple	Smoke on the Water	0
50	51	Dr. Hook & The Medicine Show	The Cover of the Rolling Stone	0
51	52	Charlie Rich	Behind Closed Doors	0
52	53	Loggins and Messina	Your Mama Don't Dance	0
53	54	Chicago	Feelin' Stronger Every Day	0
54	55	War	The Cisco Kid	0
55	56	Paul McCartney & Wings	Live and Let Die	0
56	57	Hurricane Smith	Oh, Babe, What Would You Say?	0
57	58	Johnnie Taylor	I Believe in You (You Believe in Me)	0
58	59	The Carpenters	Sing	0
59	60	The Four Tops	Ain't No Woman (Like the One I've Got)	0
60	61	Eric Weissberg & Steve Mandell	Dueling Banjos	0
61	62	Stevie Wonder	Higher Ground	0
62	63	Al Green	Here I Am (Come and Take Me)	0
63	64	B.W. Stevenson	My Maria	0
64	65	Curtis Mayfield	Superfly	0
65	66	Edward Bear	Last Song	0
66	67	Gilbert O'Sullivan	Get Down	0
67	68	Steely Dan	Reelin' in the Years	0
68	69	Focus	Hocus Pocus	0
69	70	The Carpenters	Yesterday Once More	0
70	71	Bette Midler	Boogie Woogie Bugle Boy	0
71	72	Gilbert O'Sullivan	Clair	0
72	73	Steely Dan	Do It Again	0
73	74	Paul Simon	Kodachrome	0
74	75	Timmy Thomas	Why Can't We Live Together	0
75	76	Bette Midler	Do You Wanna Dance?	0
76	77	Tower of Power	So Very Hard to Go	0
77	78	Johnny Rivers	Rockin' Pneumonia and the Boogie Woogie Flu	0
78	79	The Allman Brothers Band	Ramblin' Man	0
79	80	The Temptations	Masterpiece	0
80	81	Helen Reddy	Peaceful	0
81	82	The Spinners	One of a Kind (Love Affair)	0
82	83	Donna Fargo	Funny Face	0
83	84	Ohio Players	Funky Worm	0
84	85	The Rolling Stones	Angie	0
85	86	Blue Ridge Rangers	Jambalaya (On the Bayou)	0
86	87	Lobo	Don't Expect Me to Be Your Friend	0
87	88	The Stylistics	Break Up to Make Up	0
88	89	Jud Strunk	Daisy a Day	0
89	90	Deodato	Also Sprach Zarathustra (2001)	0
90	91	Johnny Nash	Stir It Up	0
91	92	Pink Floyd	Money	0
92	93	War	Gypsy Man	0
93	94	War	The World Is a Ghetto	0
94	95	The Pointer Sisters	Yes We Can Can	0
95	96	The Edgar Winter Group	Free Ride	0
96	97	David Bowie	Space Oddity	0
97	98	Albert Hammond	It Never Rains in Southern California	0
98	99	Donny Osmond	The Twelfth of Never	0
99	100	The Temptations	Papa Was a Rollin' Stone	0
