	Ranking	Artist	Title	Played
0	1	Justin Bieber	Love Yourself	0
1	2	Justin Bieber	Sorry	0
2	3	Drake featuring Wizkid and Kyla	One Dance	0
3	4	Rihanna featuring Drake	Work	0
4	5	Twenty One Pilots	Stressed Out	0
5	6	Desiigner	Panda	0
6	7	Adele	Hello	0
7	8	The Chainsmokers featuring Daya	Don't Let Me Down	0
8	9	Justin Timberlake	Can't Stop the Feeling!	0
9	10	The Chainsmokers featuring Halsey	Closer	0
10	11	Sia featuring Sean Paul	Cheap Thrills	0
11	12	Lukas Graham	7 Years	0
12	13	Rihanna	Needed Me	0
13	14	Flo Rida	My House	0
14	15	Mike Posner	I Took a Pill in Ibiza	0
15	16	Fifth Harmony featuring Ty Dolla Sign	Work from Home	0
16	17	Calvin Harris featuring Rihanna	This Is What You Came For	0
17	18	DNCE	Cake by the Ocean	0
18	19	G-Eazy and Bebe Rexha	Me, Myself & I	0
19	20	Twenty One Pilots	Ride	0
20	21	Twenty One Pilots	Heathens	0
21	22	Zayn	Pillowtalk	0
22	23	Shawn Mendes	Stitches	0
23	24	Drake	Hotline Bling	0
24	25	Major Lazer featuring Justin Bieber and MØ	Cold Water	0
25	26	Adele	Send My Love (To Your New Lover)	0
26	27	The Chainsmokers featuring Rozes	Roses	0
27	28	Shawn Mendes	Treat You Better	0
28	29	Drake featuring Rihanna	Too Good	0
29	30	Future featuring The Weeknd	Low Life	0
30	31	Justin Bieber	What Do You Mean?	0
31	32	The Weeknd	The Hills	0
32	33	P!nk	Just Like Fire	0
33	34	DRAM featuring Lil Yachty	Broccoli	0
34	35	Bryson Tiller	Don't	0
35	36	Ariana Grande	Dangerous Woman	0
36	37	Drake and Future	Jumpman	0
37	38	Gnash featuring Olivia O'Brien	I Hate U, I Love U	0
38	39	Alessia Cara	Here	0
39	40	Selena Gomez	Same Old Love	0
40	41	Drake	Controlla	0
41	42	Meghan Trainor featuring John Legend	Like I'm Gonna Lose You	0
42	43	Charlie Puth	One Call Away	0
43	44	James Bay	Let It Go	0
44	45	Meghan Trainor	No	0
45	46	Zara Larsson and MNEK	Never Forget You	0
46	47	DJ Snake featuring Justin Bieber	Let Me Love You	0
47	48	Kent Jones	Don't Mind	0
48	49	Florida Georgia Line	H.O.L.Y.	0
49	50	Charlie Puth featuring Selena Gomez	We Don't Talk Anymore	0
50	51	Ariana Grande	Into You	0
51	52	Kiiara	Gold	0
52	53	Bryson Tiller	Exchange	0
53	54	Fetty Wap featuring Remy Boyz	679	0
54	55	Jeremih	Oui	0
55	56	Selena Gomez	Hands to Myself	0
56	57	Kevin Gates	2 Phones	0
57	58	The Weeknd featuring Daft Punk	Starboy	0
58	59	DJ Khaled featuring Drake	For Free	0
59	60	Flume featuring Kai	Never Be Like You	0
60	61	The Weeknd	In the Night	0
61	62	Meghan Trainor	Me Too	0
62	63	Elle King	Ex's & Oh's	0
63	64	Thomas Rhett	Die a Happy Man	0
64	65	Post Malone	White Iverson	0
65	66	Nick Jonas featuring Tove Lo	Close	0
66	67	X Ambassadors	Unsteady	0
67	68	Lil Wayne, Wiz Khalifa, Imagine Dragons, Logic, Ty Dolla Sign, X Ambassadors	Sucker for Pain	0
68	69	Yo Gotti featuring Nicki Minaj	Down in the DM	0
69	70	Tory Lanez	Luv	0
70	71	Beyoncé	Sorry	0
71	72	The Weeknd	Can't Feel My Face	0
72	73	Coldplay	Hymn for the Weekend	0
73	74	Tory Lanez	Say It	0
74	75	Travis Scott	Antidote	0
75	76	Ruth B	Lost Boy	0
76	77	Ariana Grande featuring Nicki Minaj	Side to Side	0
77	78	Daya	Sit Still, Look Pretty	0
78	79	Taylor Swift	Wildest Dreams	0
79	80	DJ Snake featuring Bipolar Sunshine	Middle	0
80	81	Ellie Goulding	On My Mind	0
81	82	Drake featuring Jay-Z and Kanye West	Pop Style	0
82	83	Adele	When We Were Young	0
83	84	Daya	Hide Away	0
84	85	Major Lazer and DJ Snake featuring MØ	Lean On	0
85	86	Shawn Mendes and Camila Cabello	I Know What You Did Last Summer	0
86	87	Fat Joe and Remy Ma featuring French Montana and Infared	All the Way Up	0
87	88	Silentó	Watch Me	0
88	89	Chris Brown	Back to Sleep	0
89	90	Usher featuring Young Thug	No Limit	0
90	91	O.T. Genasis featuring Young Dolph	Cut It	0
91	92	Kevin Gates	Really Really	0
92	93	Fifth Harmony featuring Fetty Wap	All In My Head (Flex)	0
93	94	Hailee Steinfeld and Grey featuring Zedd	Starving	0
94	95	Coldplay	Adventure of a Lifetime	0
95	96	Tim McGraw	Humble and Kind	0
96	97	Future	Wicked	0
97	98	Desiigner	Tiimmy Turner	0
98	99	Wiz Khalifa featuring Charlie Puth	See You Again	0
99	100	One Direction	Perfect	0
