	Ranking	Artist	Title	Played
0	1	Barbra Streisand	The Way We Were	0
1	2	Terry Jacks	Seasons in the Sun	0
2	3	Love Unlimited Orchestra	Love's Theme	0
3	4	Redbone	Come and Get Your Love	0
4	5	The Jackson 5	Dancing Machine	0
5	6	Grand Funk Railroad	The Loco-Motion	0
6	7	MFSB	TSOP (The Sound of Philadelphia)	0
7	8	Ray Stevens	The Streak	0
8	9	Elton John	Bennie and the Jets	0
9	10	Mac Davis	One Hell of a Woman	0
10	11	Aretha Franklin	Until You Come Back to Me (That's What I'm Gonna Do)	0
11	12	Kool & the Gang	Jungle Boogie	0
12	13	Maria Muldaur	Midnight at the Oasis	0
13	14	The Stylistics	You Make Me Feel Brand New	0
14	15	Al Wilson	Show and Tell	0
15	16	Jim Stafford	Spiders and Snakes	0
16	17	David Essex	Rock On	0
17	18	John Denver	Sunshine on My Shoulders	0
18	19	Blue Magic	Sideshow	0
19	20	Blue Swede	Hooked on a Feeling	0
20	21	Bo Donaldson and The Heywoods	Billy Don't Be a Hero	0
21	22	Paul McCartney and Wings	Band on the Run	0
22	23	Charlie Rich	The Most Beautiful Girl	0
23	24	Jim Croce	Time in a Bottle	0
24	25	John Denver	Annie's Song	0
25	26	Olivia Newton-John	Let Me Be There	0
26	27	Gordon Lightfoot	Sundown	0
27	28	Paul Anka	(You're) Having My Baby	0
28	29	Andy Kim	Rock Me Gently	0
29	30	Eddie Kendricks	Boogie Down	0
30	31	Ringo Starr	You're Sixteen	0
31	32	Olivia Newton-John	If You Love Me (Let Me Know)	0
32	33	Cher	Dark Lady	0
33	34	Gladys Knight & the Pips	Best Thing That Ever Happened to Me	0
34	35	Roberta Flack	Feel Like Makin' Love	0
35	36	The Main Ingredient	Just Don't Want to Be Lonely	0
36	37	Billy Preston	Nothing from Nothing	0
37	38	George McCrae	Rock Your Baby	0
38	39	The Carpenters	Top of the World	0
39	40	Steve Miller Band	The Joker	0
40	41	Gladys Knight & the Pips	I've Got to Use My Imagination	0
41	42	Three Dog Night	The Show Must Go On	0
42	43	The Hues Corporation	Rock the Boat	0
43	44	Brownsville Station	Smokin' in the Boys Room	0
44	45	Stevie Wonder	Living for the City	0
45	46	Dionne Warwick & The Spinners	Then Came You	0
46	47	Paper Lace	The Night Chicago Died	0
47	48	Marvin Hamlisch	The Entertainer	0
48	49	ABBA	Waterloo	0
49	50	The Hollies	The Air That I Breathe	0
50	51	Steely Dan	Rikki Don't Lose That Number	0
51	52	Carly Simon & James Taylor	Mockingbird	0
52	53	Joni Mitchell	Help Me	0
53	54	Anne Murray	You Won't See Me	0
54	55	Barry White	Never, Never Gonna Give You Up	0
55	56	Rufus & Chaka Khan	Tell Me Something Good	0
56	57	Helen Reddy	You and Me Against the World	0
57	58	The Righteous Brothers	Rock and Roll Heaven	0
58	59	Kool & the Gang	Hollywood Swinging	0
59	60	William DeVaughn	Be Thankful for What You Got	0
60	61	Johnny Bristol	Hang on in There Baby	0
61	62	Mocedades	Eres tú	0
62	63	Bachman-Turner Overdrive	Takin' Care of Business	0
63	64	Golden Earring	Radar Love	0
64	65	Dave Loggins	Please Come to Boston	0
65	66	Wet Willie	Keep on Smilin'	0
66	67	Bobby Womack	Lookin' for a Love	0
67	68	The O'Jays	Put Your Hands Together	0
68	69	Gladys Knight & the Pips	On and On	0
69	70	Cat Stevens	Oh Very Young	0
70	71	Helen Reddy	Leave Me Alone (Ruby Red Dress)	0
71	72	Elton John	Goodbye Yellow Brick Road	0
72	73	Chicago	(I've Been) Searchin' So Long	0
73	74	Ringo Starr	Oh My My	0
74	75	The O'Jays	For the Love of Money	0
75	76	Eric Clapton	I Shot the Sheriff	0
76	77	Paul McCartney and Wings	Jet	0
77	78	Elton John	Don't Let the Sun Go Down on Me	0
78	79	Mike Oldfield	Tubular Bells	0
79	80	Anne Murray	A Love Song	0
80	81	Donny and Marie Osmond	I'm Leaving It (All) Up to You	0
81	82	Todd Rundgren	Hello It's Me	0
82	83	Tom T. Hall	I Love	0
83	84	The Guess Who featuring Wolfman Jack	Clap for the Wolfman	0
84	85	Jim Croce	I'll Have to Say I Love You in a Song	0
85	86	Sister Janet Mead	The Lord's Prayer	0
86	87	Lamont Dozier	Trying to Hold on to My Woman	0
87	88	Stevie Wonder	Don't You Worry 'bout a Thing	0
88	89	Charlie Rich	A Very Special Love Song	0
89	90	Jim Stafford	My Girl Bill	0
90	91	Paul McCartney and Wings	Helen Wheels	0
91	92	Diana Ross & Marvin Gaye	My Mistake (Was to Love You)	0
92	93	Jim Stafford	Wildwood Weed	0
93	94	The First Class	Beach Baby	0
94	95	War	Me and Baby Brother	0
95	96	The Stylistics	Rockin' Roll Baby	0
96	97	Olivia Newton-John	I Honestly Love You	0
97	98	Chicago	Call on Me	0
98	99	Fancy	Wild Thing	0
99	100	The Spinners	Mighty Love	0
