	Ranking	Artist	Title	Played
0	1	The Black Eyed Peas	Boom Boom Pow	0
1	2	Lady Gaga	Poker Face	0
2	3	Lady Gaga featuring Colby O'Donis	Just Dance	0
3	4	The Black Eyed Peas	I Gotta Feeling	0
4	5	Taylor Swift	Love Story	0
5	6	Flo Rida	Right Round	0
6	7	Jason Mraz	I'm Yours	0
7	8	Beyoncé	Single Ladies (Put a Ring on It)	0
8	9	Kanye West	Heartless	0
9	10	The All-American Rejects	Gives You Hell	0
10	11	Taylor Swift	You Belong with Me	0
11	12	T.I. featuring Justin Timberlake	Dead and Gone	0
12	13	The Fray	You Found Me	0
13	14	Kings of Leon	Use Somebody	0
14	15	Keri Hilson featuring Kanye West and Ne-Yo	Knock You Down	0
15	16	Jamie Foxx featuring T-Pain	Blame It	0
16	17	Pitbull	I Know You Want Me (Calle Ocho)	0
17	18	T.I. featuring Rihanna	Live Your Life	0
18	19	Soulja Boy Tell 'Em featuring Sammie	Kiss Me thru the Phone	0
19	20	Jay Sean featuring Lil Wayne	Down	0
20	21	Miley Cyrus	The Climb	0
21	22	Drake	Best I Ever Had	0
22	23	Kelly Clarkson	My Life Would Suck Without You	0
23	24	Beyoncé	Halo	0
24	25	Katy Perry	Hot n Cold	0
25	26	Shinedown	Second Chance	0
26	27	Britney Spears	Circus	0
27	28	Kid Cudi	Day 'n' Nite	0
28	29	Miley Cyrus	Party in the U.S.A.	0
29	30	3OH!3	Don't Trust Me	0
30	31	Jay-Z featuring Rihanna and Kanye West	Run This Town	0
31	32	Kevin Rudolf featuring Lil Wayne	Let It Rock	0
32	33	Sean Kingston	Fire Burning	0
33	34	Jason Derulo	Whatcha Say	0
34	35	Lady Gaga	LoveGame	0
35	36	Katy Perry	Waking Up in Vegas	0
36	37	Jeremih	Birthday Sex	0
37	38	Pink	Sober	0
38	39	Britney Spears	Womanizer	0
39	40	T.I.	Whatever You Like	0
40	41	Mariah Carey	Obsessed	0
41	42	Ne-Yo	Mad	0
42	43	Cobra Starship featuring Leighton Meester	Good Girls Go Bad	0
43	44	Kanye West	Love Lockdown	0
44	45	Pink	So What	0
45	46	Pitbull	Hotel Room Service	0
46	47	Eminem, Dr. Dre and 50 Cent	Crack a Bottle	0
47	48	Beyoncé	If I Were a Boy	0
48	49	Keri Hilson featuring Lil Wayne	Turnin Me On	0
49	50	Pussycat Dolls	I Hate This Part	0
50	51	Nickelback	Gotta Be Somebody	0
51	52	Pink	Please Don't Leave Me	0
52	53	Lady Gaga	Paparazzi	0
53	54	Akon featuring Colby O'Donis and Kardinal Offishall	Beautiful	0
54	55	Coldplay	Viva la Vida	0
55	56	Akon	Right Now (Na Na Na)	0
56	57	Jordin Sparks	Battlefield	0
57	58	Flo Rida featuring Wynter	Sugar	0
58	59	Ne-Yo	Miss Independent	0
59	60	Owl City	Fireflies	0
60	61	Linkin Park	New Divide	0
61	62	Jay-Z featuring Alicia Keys	Empire State of Mind	0
62	63	Daughtry	No Surprise	0
63	64	Shakira	She Wolf	0
64	65	Mario featuring Gucci Mane and Sean Garrett	Break Up	0
65	66	Beyoncé	Sweet Dreams	0
66	67	Young Money	Every Girl	0
67	68	Colbie Caillat	Fallin' for You	0
68	69	The Veronicas	Untouched	0
69	70	Nickelback	If Today Was Your Last Day	0
70	71	Fabolous featuring The-Dream	Throw It in the Bag	0
71	72	Boys Like Girls	Love Drunk	0
72	73	Asher Roth	I Love College	0
73	74	Britney Spears	If U Seek Amy	0
74	75	Jason Aldean	Big Green Tractor	0
75	76	Taylor Swift	White Horse	0
76	77	Rihanna	Disturbia	0
77	78	Green Day	21 Guns	0
78	79	Soulja Boy Tell 'Em	Turn My Swag On	0
79	80	The-Dream	Rockin' That Thang	0
80	81	Zac Brown Band	Chicken Fried	0
81	82	Beyoncé	Diva	0
82	83	Iyaz	Replay	0
83	84	Brad Paisley	Then	0
84	85	Rob Thomas	Her Diamonds	0
85	86	Jesse McCartney featuring Ludacris	How Do You Sleep?	0
86	87	Britney Spears	3	0
87	88	Drake featuring Kanye West, Lil Wayne and Eminem	Forever	0
88	89	Justin Bieber	One Time	0
89	90	Lady Antebellum	I Run to You	0
90	91	Kelly Clarkson	I Do Not Hook Up	0
91	92	John Legend featuring André 3000	Green Light	0
92	93	Billy Currington	People Are Crazy	0
93	94	Zac Brown Band	Whatever It Is	0
94	95	Kelly Clarkson	Already Gone	0
95	96	Kristinia DeBarge	Goodbye	0
96	97	Michael Franti & Spearhead featuring Cherine Anderson	Say Hey (I Love You)	0
97	98	Jim Jones featuring Ron Browz and Juelz Santana	Pop Champagne	0
98	99	Maxwell	Pretty Wings	0
99	100	The Fray	Never Say Never	0
