	Ranking	Artist	Title	Played
0	1	Gotye featuring Kimbra	Somebody That I Used to Know	0
1	2	Carly Rae Jepsen	Call Me Maybe	0
2	3	Fun featuring Janelle Monáe	We Are Young	0
3	4	Maroon 5 featuring Wiz Khalifa	Payphone	0
4	5	Ellie Goulding	Lights	0
5	6	The Wanted	Glad You Came	0
6	7	Kelly Clarkson	Stronger (What Doesn't Kill You)	0
7	8	Rihanna featuring Calvin Harris	We Found Love	0
8	9	Nicki Minaj	Starships	0
9	10	One Direction	What Makes You Beautiful	0
10	11	Flo Rida featuring Sia	Wild Ones	0
11	12	Adele	Set Fire to the Rain	0
12	13	LMFAO	Sexy and I Know It	0
13	14	Fun	Some Nights	0
14	15	Katy Perry	Wide Awake	0
15	16	Flo Rida	Good Feeling	0
16	17	Flo Rida	Whistle	0
17	18	Maroon 5	One More Night	0
18	19	Train	Drive By	0
19	20	Drake featuring Lil Wayne	The Motto	0
20	21	Rihanna	Where Have You Been	0
21	22	Neon Trees	Everybody Talks	0
22	23	Drake featuring Rihanna	Take Care	0
23	24	David Guetta featuring Sia	Titanium	0
24	25	Jason Mraz	I Won't Give Up	0
25	26	Bruno Mars	It Will Rain	0
26	27	Kanye West, Big Sean, Pusha T and 2 Chainz	Mercy	0
27	28	Justin Bieber	Boyfriend	0
28	29	LMFAO featuring Lauren Bennett and GoonRock	Party Rock Anthem	0
29	30	Alex Clare	Too Close	0
30	31	Katy Perry	Part of Me	0
31	32	Snoop Dogg and Wiz Khalifa featuring Bruno Mars	Young, Wild & Free	0
32	33	Taylor Swift	We Are Never Ever Getting Back Together	0
33	34	Justin Bieber featuring Big Sean	As Long as You Love Me	0
34	35	David Guetta featuring Nicki Minaj	Turn Me On	0
35	36	Maroon 5 featuring Christina Aguilera	Moves like Jagger	0
36	37	Pink	Blow Me (One Last Kiss)	0
37	38	Owl City and Carly Rae Jepsen	Good Time	0
38	39	Demi Lovato	Give Your Heart a Break	0
39	40	Jay-Z and Kanye West	Niggas in Paris	0
40	41	Katy Perry	The One That Got Away	0
41	42	Calvin Harris	Feel So Close	0
42	43	Adele	Someone like You	0
43	44	Usher	Scream	0
44	45	Tyga	Rack City	0
45	46	Jessie J	Domino	0
46	47	Psy	Gangnam Style	0
47	48	Pitbull featuring Chris Brown	International Love	0
48	49	Phillip Phillips	Home	0
49	50	David Guetta featuring Usher	Without You	0
50	51	Gym Class Heroes featuring Neon Hitch	Ass Back Home	0
51	52	Hunter Hayes	Wanted	0
52	53	Luke Bryan	Drunk on You	0
53	54	2 Chainz featuring Drake	No Lie	0
54	55	Cher Lloyd	Want U Back	0
55	56	Chris Brown	Don't Wake Me Up	0
56	57	Big Sean featuring Nicki Minaj	Dance (A$$)	0
57	58	Eric Church	Springsteen	0
58	59	Karmin	Brokenhearted	0
59	60	Gavin DeGraw	Not Over You	0
60	61	Gym Class Heroes featuring Adam Levine	Stereo Hearts	0
61	62	Pitbull	Back in Time	0
62	63	J. Cole	Work Out	0
63	64	Adele	Rumour Has It	0
64	65	Calvin Harris featuring Ne-Yo	Let's Go	0
65	66	Carrie Underwood	Good Girl	0
66	67	Little Big Town	Pontoon	0
67	68	The Lumineers	Ho Hey	0
68	69	Coldplay	Paradise	0
69	70	Carrie Underwood	Blown Away	0
70	71	Adele	Rolling in the Deep	0
71	72	Usher	Climax	0
72	73	Wiz Khalifa	Work Hard, Play Hard	0
73	74	Ne-Yo	Let Me Love You (Until You Learn to Love Yourself)	0
74	75	Nicki Minaj	Pound the Alarm	0
75	76	Kenny Chesney	Come Over	0
76	77	Trey Songz	Heart Attack	0
77	78	Kirko Bangz	Drank in My Cup	0
78	79	Rihanna featuring Chris Brown	Birthday Cake	0
79	80	B.o.B	So Good	0
80	81	Train	50 Ways to Say Goodbye	0
81	82	Toby Keith	Red Solo Cup	0
82	83	Selena Gomez & the Scene	Love You Like a Love Song	0
83	84	Chris Brown	Turn Up the Music	0
84	85	Kesha	Die Young	0
85	86	T-Pain featuring Wiz Khalifa and Lily Allen	5 O'Clock	0
86	87	Christina Perri	A Thousand Years	0
87	88	Jason Aldean	Take a Little Ride	0
88	89	Rihanna	You da One	0
89	90	Havana Brown featuring Pitbull	We Run the Night	0
90	91	Imagine Dragons	It's Time	0
91	92	Cash Out	Cashin' Out	0
92	93	Luke Bryan	I Don't Want This Night to End	0
93	94	Rihanna	Diamonds	0
94	95	Lee Brice	Hard to Love	0
95	96	Kip Moore	Somethin' 'Bout a Truck	0
96	97	Miguel	Adorn	0
97	98	Jason Aldean	Fly Over States	0
98	99	Eli Young Band	Even If It Breaks Your Heart	0
99	100	Linkin Park	Burn It Down	0
