	Ranking	Artist	Title	Played
0	1	Kim Carnes	Bette Davis Eyes	0
1	2	Diana Ross & Lionel Richie	Endless Love	0
2	3	Kenny Rogers	Lady	0
3	4	John Lennon	(Just Like) Starting Over	0
4	5	Rick Springfield	Jessie's Girl	0
5	6	Kool & the Gang	Celebration	0
6	7	Hall & Oates	Kiss on My List	0
7	8	Eddie Rabbitt	I Love a Rainy Night	0
8	9	Dolly Parton	9 To 5	0
9	10	REO Speedwagon	Keep on Loving You	0
10	11	Joey Scarbury	Theme from The Greatest American Hero (Believe It or Not)	0
11	12	Sheena Easton	Morning Train (Nine to Five)	0
12	13	Smokey Robinson	Being with You	0
13	14	Juice Newton	Queen of Hearts	0
14	15	Blondie	Rapture	0
15	16	Raydio	A Woman Needs Love (Just Like You Do)	0
16	17	Blondie	The Tide Is High	0
17	18	Grover Washington, Jr. & Bill Withers	Just the Two of Us	0
18	19	The Pointer Sisters	Slow Hand	0
19	20	Climax Blues Band	I Love You	0
20	21	John Lennon	Woman	0
21	22	A Taste of Honey	Sukiyaki	0
22	23	ABBA	The Winner Takes It All	0
23	24	Stars on 45	Stars on 45 Medley	0
24	25	Juice Newton	Angel of the Morning	0
25	26	Neil Diamond	Love on the Rocks	0
26	27	Air Supply	Every Woman in the World	0
27	28	Air Supply	The One That You Love	0
28	29	Barbra Streisand & Barry Gibb	Guilty	0
29	30	Styx	The Best of Times	0
30	31	The Oak Ridge Boys	Elvira	0
31	32	REO Speedwagon	Take It on the Run	0
32	33	Ronnie Milsap	(There's) No Gettin' Over Me	0
33	34	Gino Vannelli	Living Inside Myself	0
34	35	Barbra Streisand	Woman in Love	0
35	36	The Manhattan Transfer	The Boy from New York City	0
36	37	Foreigner	Urgent	0
37	38	Rod Stewart	Passion	0
38	39	Commodores	Lady (You Bring Me Up)	0
39	40	Don McLean	Crying	0
40	41	Marty Balin	Hearts	0
41	42	Diana Ross	It's My Turn	0
42	43	Hall & Oates	You Make My Dreams	0
43	44	Kenny Rogers	I Don't Need You	0
44	45	Champaign	How 'Bout Us	0
45	46	Pat Benatar	Hit Me with Your Best Shot	0
46	47	The Greg Kihn Band	The Breakup Song (They Don't Write 'Em)	0
47	48	The Alan Parsons Project	Time	0
48	49	Bruce Springsteen	Hungry Heart	0
49	50	Franke and the Knockouts	Sweetheart	0
50	51	Terri Gibbs	Somebody's Knockin'	0
51	52	Leo Sayer	More Than I Can Say	0
52	53	Tierra	Together	0
53	54	Styx	Too Much Time on My Hands	0
54	55	Dottie West & Kenny Rogers	What Are We Doin' in Love	0
55	56	Journey	Who's Crying Now	0
56	57	The Police	De Do Do Do, De Da Da Da	0
57	58	Gary U.S. Bonds	This Little Girl	0
58	59	Stevie Nicks & Tom Petty	Stop Draggin' My Heart Around	0
59	60	Delbert McClinton	Giving It Up for Your Love	0
60	61	Cliff Richard	A Little in Love	0
61	62	Neil Diamond	America	0
62	63	John Cougar	Ain't Even Done with the Night	0
63	64	Christopher Cross	Arthur's Theme (Best That You Can Do)	0
64	65	Queen	Another One Bites the Dust	0
65	66	The Alan Parsons Project	Games People Play	0
66	67	Eric Clapton	I Can't Stand It	0
67	68	Steve Winwood	While You See a Chance	0
68	69	Stevie Wonder	Master Blaster (Jammin')	0
69	70	Neil Diamond	Hello Again	0
70	71	The Police	Don't Stand So Close to Me	0
71	72	Steely Dan	Hey Nineteen	0
72	73	Stevie Wonder	I Ain't Gonna Stand for It	0
73	74	George Harrison	All Those Years Ago	0
74	75	Eddie Rabbitt	Step By Step	0
75	76	Billy Squier	The Stroke	0
76	77	Alabama	Feels So Right	0
77	78	Stanley Clarke & George Duke	Sweet Baby	0
78	79	Dan Fogelberg	Same Old Lang Syne	0
79	80	Pablo Cruise	Cool Love	0
80	81	Electric Light Orchestra	Hold On Tight	0
81	82	John Schneider	It's Now or Never	0
82	83	Pat Benatar	Treat Me Right	0
83	84	Santana	Winning	0
84	85	Barbra Streisand & Barry Gibb	What Kind of Fool	0
85	86	John Lennon	Watching the Wheels	0
86	87	Heart	Tell It Like It Is	0
87	88	Ronnie Milsap	Smoky Mountain Rain	0
88	89	Barry Manilow	I Made It Through the Rain	0
89	90	Hall & Oates	You've Lost That Lovin' Feelin'	0
90	91	Olivia Newton-John & Cliff Richard	Suddenly	0
91	92	Sheena Easton	For Your Eyes Only	0
92	93	The Beach Boys	The Beach Boys Medley	0
93	94	Devo	Whip It	0
94	95	Sheena Easton	Modern Girl	0
95	96	Gary Wright	Really Wanna Know You	0
96	97	Rosanne Cash	Seven Year Ache	0
97	98	Diana Ross	I'm Coming Out	0
98	99	Boz Scaggs	Miss Sun	0
99	100	Andy Gibb	Time Is Time	0
