	Ranking	Artist	Title	Played
0	1	Dionne and Friends	That's What Friends Are For	0
1	2	Lionel Richie	Say You, Say Me	0
2	3	Klymaxx	I Miss You	0
3	4	Patti LaBelle and Michael McDonald	On My Own	0
4	5	Mr. Mister	Broken Wings	0
5	6	Whitney Houston	How Will I Know	0
6	7	Eddie Murphy	Party All the Time	0
7	8	Survivor	Burning Heart	0
8	9	Mr. Mister	Kyrie	0
9	10	Robert Palmer	Addicted to Love	0
10	11	Whitney Houston	The Greatest Love of All	0
11	12	Atlantic Starr	Secret Lovers	0
12	13	Gloria Loring and Carl Anderson	Friends and Lovers	0
13	14	Peter Cetera	Glory of Love	0
14	15	Pet Shop Boys	West End Girls	0
15	16	Billy Ocean	There'll Be Sad Songs (To Make You Cry)	0
16	17	Simple Minds	Alive and Kicking	0
17	18	Heart	Never	0
18	19	Prince and The Revolution	Kiss	0
19	20	Steve Winwood	Higher Love	0
20	21	Huey Lewis and the News	Stuck with You	0
21	22	Simply Red	Holding Back the Years	0
22	23	Peter Gabriel	Sledgehammer	0
23	24	Starship	Sara	0
24	25	The Human League	Human	0
25	26	Nu Shooz	I Can't Wait	0
26	27	Berlin	Take My Breath Away	0
27	28	Falco	Rock Me Amadeus	0
28	29	Madonna	Papa Don't Preach	0
29	30	Bon Jovi	You Give Love a Bad Name	0
30	31	Billy Ocean	When the Going Gets Tough, the Tough Get Going	0
31	32	Janet Jackson	When I Think of You	0
32	33	Heart	These Dreams	0
33	34	Glass Tiger	Don't Forget Me (When I'm Gone)	0
34	35	Madonna	Live to Tell	0
35	36	Belinda Carlisle	Mad About You	0
36	37	Level 42	Something About You	0
37	38	Bananarama	Venus	0
38	39	Lionel Richie	Dancing on the Ceiling	0
39	40	Miami Sound Machine	Conga	0
40	41	Cyndi Lauper	True Colors	0
41	42	Kenny Loggins	Danger Zone	0
42	43	Janet Jackson	What Have You Done For Me Lately	0
43	44	Howard Jones	No One Is to Blame	0
44	45	Sly Fox	Let's Go All the Way	0
45	46	Robert Palmer	I Didn't Mean to Turn You On	0
46	47	Miami Sound Machine	Words Get in the Way	0
47	48	The Bangles	Manic Monday	0
48	49	Dire Straits	Walk of Life	0
49	50	Boston	Amanda	0
50	51	Stacey Q	Two of Hearts	0
51	52	The Jets	Crush on You	0
52	53	Orchestral Manoeuvres in the Dark	If You Leave	0
53	54	Genesis	Invisible Touch	0
54	55	Sade	The Sweetest Taboo	0
55	56	INXS	What You Need	0
56	57	Stevie Nicks	Talk to Me	0
57	58	Janet Jackson	Nasty	0
58	59	Eddie Money	Take Me Home Tonight	0
59	60	Jermaine Stewart	We Don't Have to Take Our Clothes Off	0
60	61	Lisa Lisa and Cult Jam	All Cried Out	0
61	62	The Outfield	Your Love	0
62	63	Wham!	I'm Your Man	0
63	64	Scritti Politti	Perfect Way	0
64	65	James Brown	Living in America	0
65	66	John Cougar Mellencamp	R.O.C.K. in the U.S.A.	0
66	67	El DeBarge	Who's Johnny	0
67	68	Cameo	Word Up!	0
68	69	Van Halen	Why Can't This Be Love	0
69	70	Mike + The Mechanics	Silent Running (On Dangerous Ground)	0
70	71	Tina Turner	Typical Male	0
71	72	John Cougar Mellencamp	Small Town	0
72	73	Baltimora	Tarzan Boy	0
73	74	Mike + The Mechanics	All I Need Is a Miracle	0
74	75	Michael McDonald	Sweet Freedom	0
75	76	Madonna	True Blue	0
76	77	Timex Social Club	Rumors	0
77	78	Dream Academy	Life in a Northern Town	0
78	79	Miami Sound Machine	Bad Boy	0
79	80	ZZ Top	Sleeping Bag	0
80	81	The Cars	Tonight She Comes	0
81	82	Rod Stewart	Love Touch	0
82	83	Sheila E.	A Love Bizarre	0
83	84	Genesis	Throwing It All Away	0
84	85	Regina	Baby Love	0
85	86	Arcadia	Election Day	0
86	87	Elton John	Nikita	0
87	88	Phil Collins	Take Me Home	0
88	89	Run–D.M.C. featuring Aerosmith	Walk This Way	0
89	90	Anita Baker	Sweet Love	0
90	91	Moody Blues	Your Wildest Dreams	0
91	92	Paul McCartney	Spies Like Us	0
92	93	Starpoint	Object of My Desire	0
93	94	Daryl Hall	Dreamtime	0
94	95	Force MDs	Tender Love	0
95	96	Thompson Twins	King for a Day	0
96	97	Lionel Richie	Love Will Conquer All	0
97	98	George Michael	A Different Corner	0
98	99	Toto	I'll Be Over You	0
99	100	Stevie Wonder	Go Home	0
