	Ranking	Artist	Title	Played
0	1	Elvis Presley	Heartbreak Hotel	0
1	2	Elvis Presley	Don't Be Cruel	0
2	3	Nelson Riddle	Lisbon Antigua	0
3	4	The Platters	My Prayer	0
4	5	Gogi Grant	The Wayward Wind	0
5	6	Elvis Presley	Hound Dog	0
6	7	Les Baxter	The Poor People of Paris	0
7	8	Doris Day	Que Sera, Sera (Whatever Will Be, Will Be)	0
8	9	Dean Martin	Memories Are Made of This	0
9	10	Kay Starr	(The) Rock and Roll Waltz	0
10	11	Morris Stoloff	Moonglow and Theme from Picnic	0
11	12	The Platters	The Great Pretender	0
12	13	Pat Boone	I Almost Lost My Mind	0
13	14	Elvis Presley	I Want You, I Need You, I Love You	0
14	15	Elvis Presley	Love Me Tender	0
15	16	Perry Como	Hot Diggity (Dog Ziggity Boom)	0
16	17	Eddie Heywood & Hugo Winterhalter	Canadian Sunset	0
17	18	Carl Perkins	Blue Suede Shoes	0
18	19	Jim Lowe	Green Door	0
19	20	The Four Lads	No, Not Much	0
20	21	Bill Doggett	Honky Tonk	0
21	22	Tennessee Ernie Ford	Sixteen Tons	0
22	23	Johnnie Ray	Just Walkin' in the Rain	0
23	24	Patti Page	Allegheny Moon	0
24	25	Fats Domino	I'm in Love Again	0
25	26	Patience and Prudence	Tonight You Belong to Me	0
26	27	Gene Vincent	Be-Bop-A-Lula	0
27	28	Frankie Lymon and the Teenagers	Why Do Fools Fall in Love	0
28	29	The Four Lads	Standing on the Corner	0
29	30	Buchanan & Goodman	The Flying Saucer	0
30	31	George Cates	Moonglow and Theme from Picnic	0
31	32	Cathy Carr	Ivory Tower	0
32	33	Bill Haley & His Comets	See You Later Alligator	0
33	34	Pat Boone	I'll Be Home	0
34	35	Vic Damone	On the Street Where You Live	0
35	36	The Platters	(You've Got) The Magic Touch	0
36	37	The Chordettes	Born to Be with You	0
37	38	Don Cherry	Band of Gold	0
38	39	Perry Como	More	0
39	40	Guy Mitchell	Singing the Blues	0
40	41	Fats Domino	Blueberry Hill	0
41	42	Sanford Clark	The Fool	0
42	43	Don Robertson	The Happy Whistler	0
43	44	Bing Crosby & Grace Kelly	True Love	0
44	45	Little Richard	Long Tall Sally	0
45	46	Teresa Brewer	A Sweet Old Fashioned Girl	0
46	47	Nervous Norvus	Transfusion	0
47	48	The Ames Brothers	It Only Hurts for a Little While	0
48	49	Teresa Brewer	A Tear Fell	0
49	50	Lonnie Donegan	Rock Island Line	0
