	Ranking	Artist	Title	Played
0	1	Lil Nas X featuring Billy Ray Cyrus	Old Town Road	0
1	2	Post Malone and Swae Lee	Sunflower	0
2	3	Halsey	Without Me	0
3	4	Billie Eilish	Bad Guy	0
4	5	Post Malone	Wow	0
5	6	Marshmello and Bastille	Happier	0
6	7	Ariana Grande	7 Rings	0
7	8	Khalid	Talk	0
8	9	Travis Scott	Sicko Mode	0
9	10	Jonas Brothers	Sucker	0
10	11	Panic! at the Disco	High Hopes	0
11	12	Ariana Grande	Thank U, Next	0
12	13	Lizzo	Truth Hurts	0
13	14	Sam Smith and Normani	Dancing with a Stranger	0
14	15	Shawn Mendes and Camila Cabello	Señorita	0
15	16	Ed Sheeran and Justin Bieber	I Don't Care	0
16	17	Benny Blanco, Halsey and Khalid	Eastside	0
17	18	Meek Mill featuring Drake	Going Bad	0
18	19	Lady Gaga and Bradley Cooper	Shallow	0
19	20	Khalid	Better	0
20	21	Chris Brown featuring Drake	No Guidance	0
21	22	Maroon 5 featuring Cardi B	Girls Like You	0
22	23	Ava Max	Sweet but Psycho	0
23	24	DaBaby	Suge	0
24	25	J. Cole	Middle Child	0
25	26	Lil Baby and Gunna	Drip Too Hard	0
26	27	Lewis Capaldi	Someone You Loved	0
27	28	Lil Tecca	Ransom	0
28	29	Shawn Mendes	If I Can't Have You	0
29	30	Post Malone featuring Young Thug	Goodbyes	0
30	31	Kodak Black featuring Travis Scott and Offset	Zeze	0
31	32	Post Malone	Better Now	0
32	33	5 Seconds of Summer	Youngblood	0
33	34	Drake featuring Rick Ross	Money in the Grave	0
34	35	Dan + Shay	Speechless	0
35	36	Ariana Grande	Break Up with Your Girlfriend, I'm Bored	0
36	37	Cardi B and Bruno Mars	Please Me	0
37	38	Cardi B	Money	0
38	39	Taylor Swift	You Need to Calm Down	0
39	40	Lil Nas X	Panini	0
40	41	A Boogie wit da Hoodie	Look Back at It	0
41	42	21 Savage	A Lot	0
42	43	Taylor Swift featuring Brendon Urie	Me!	0
43	44	Bad Bunny featuring Drake	Mia	0
44	45	Polo G featuring Lil Tjay	Pop Out	0
45	46	Luke Combs	Beautiful Crazy	0
46	47	Blueface	Thotiana	0
47	48	Juice Wrld	Lucid Dreams	0
48	49	Sheck Wes	Mo Bamba	0
49	50	Ed Sheeran featuring Khalid	Beautiful People	0
50	51	Gucci Mane, Bruno Mars and Kodak Black	Wake Up in the Sky	0
51	52	Morgan Wallen	Whiskey Glasses	0
52	53	Blake Shelton	God's Country	0
53	54	Dean Lewis	Be Alright	0
54	55	Mustard and Migos	Pure Water	0
55	56	Blanco Brown	The Git Up	0
56	57	DJ Snake featuring Selena Gomez, Ozuna and Cardi B	Taki Taki	0
57	58	Ellie Goulding and Diplo featuring Swae Lee	Close to Me	0
58	59	Calboy	Envy Me	0
59	60	Lauren Daigle	You Say	0
60	61	Panic! at the Disco	Hey Look Ma, I Made It	0
61	62	Post Malone	Circles	0
62	63	Luke Combs	Beer Never Broke My Heart	0
63	64	Young Thug, J. Cole and Travis Scott	The London	0
64	65	Daddy Yankee and Katy Perry featuring Snow	Con Calma	0
65	66	YNW Melly	Murder on My Mind	0
66	67	Billie Eilish	When the Party's Over	0
67	68	City Girls	Act Up	0
68	69	Cardi B, Bad Bunny and J Balvin	I Like It	0
69	70	Shaed	Trampoline	0
70	71	Flipp Dinero	Leave Me Alone	0
71	72	Ariana Grande	Breathin	0
72	73	Billie Eilish	Bury a Friend	0
73	74	Lil Baby	Close Friends	0
74	75	Pinkfong	Baby Shark	0
75	76	Saweetie	My Type	0
76	77	YK Osiris	Worth It	0
77	78	Jonas Brothers	Only Human	0
78	79	Luke Bryan	Knockin' Boots	0
79	80	Ella Mai	Trip	0
80	81	Lee Brice	Rumor	0
81	82	A Boogie wit da Hoodie featuring 6ix9ine	Swervin	0
82	83	Sam Smith	How Do You Sleep?	0
83	84	Lil Baby and DaBaby	Baby	0
84	85	Thomas Rhett	Look What God Gave Her	0
85	86	Kane Brown	Good as You	0
86	87	Offset featuring Cardi B	Clout	0
87	88	Khalid and Normani	Love Lies	0
88	89	Marshmello and Kane Brown	One Thing Right	0
89	90	Megan Thee Stallion featuring DaBaby	Cash Shit	0
90	91	Dan + Shay	Tequila	0
91	92	NLE Choppa	Shotta Flow	0
92	93	Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign	Hot Girl Summer	0
93	94	Florida Georgia Line	Talk You Out of It	0
94	95	Bazzi featuring Camila Cabello	Beautiful	0
95	96	Chase Rice	Eyes on You	0
96	97	Dan + Shay	All to Myself	0
97	98	Ariana Grande and Social House	Boyfriend	0
98	99	Pink	Walk Me Home	0
99	100	Juice Wrld	Robbery	0
