	Ranking	Artist	Title	Played
0	1	Simon & Garfunkel	Bridge Over Troubled Water	0
1	2	The Carpenters	(They Long to Be) Close to You	0
2	3	The Guess Who	American Woman	0
3	4	B.J. Thomas	Raindrops Keep Fallin' on My Head	0
4	5	Edwin Starr	War	0
5	6	Diana Ross	Ain't No Mountain High Enough	0
6	7	The Jackson 5	I'll Be There	0
7	8	Rare Earth	Get Ready	0
8	9	The Beatles	Let It Be	0
9	10	Freda Payne	Band of Gold	0
10	11	Three Dog Night	Mama Told Me (Not to Come)	0
11	12	Ray Stevens	Everything Is Beautiful	0
12	13	Bread	Make It with You	0
13	14	Vanity Fare	Hitchin' a Ride	0
14	15	The Jackson 5	ABC	0
15	16	The Jackson 5	The Love You Save	0
16	17	Neil Diamond	Cracklin' Rosie	0
17	18	Dawn	Candida	0
18	19	Sly & the Family Stone	Thank You (Falettinme Be Mice Elf Agin)	0
19	20	Eric Burdon & War	Spill the Wine	0
20	21	Five Stairsteps	O-o-h Child	0
21	22	Norman Greenbaum	Spirit in the Sky	0
22	23	Melanie	Lay Down (Candles in the Rain)	0
23	24	The Temptations	Ball of Confusion (That's What the World Is Today)	0
24	25	The Moments	Love on a Two-Way Street	0
25	26	The Poppy Family	Which Way You Goin' Billy?	0
26	27	Free	All Right Now	0
27	28	The Jackson 5	I Want You Back	0
28	29	Bobby Sherman	Julie, Do Ya Love Me	0
29	30	Sugarloaf	Green-Eyed Lady	0
30	31	Stevie Wonder	Signed, Sealed, Delivered I'm Yours	0
31	32	Blues Image	Ride Captain Ride	0
32	33	Shocking Blue	Venus	0
33	34	John Lennon	Instant Karma!	0
34	35	Clarence Carter	Patches	0
35	36	Creedence Clearwater Revival	Lookin' out My Back Door	0
36	37	Brook Benton	Rainy Night in Georgia	0
37	38	Kenny Rogers & The First Edition	Something's Burning	0
38	39	Chairmen of the Board	Give Me Just a Little More Time	0
39	40	Edison Lighthouse	Love Grows (Where My Rosemary Goes)	0
40	41	The Beatles	The Long and Winding Road	0
41	42	Anne Murray	Snowbird	0
42	43	Marmalade	Reflections of My Life	0
43	44	Eddie Holman	Hey There Lonely Girl	0
44	45	The Jaggerz	The Rapper	0
45	46	The Hollies	He Ain't Heavy, He's My Brother	0
46	47	Alive N Kickin'	Tighter, Tighter	0
47	48	Badfinger	Come and Get It	0
48	49	Simon & Garfunkel	Cecilia	0
49	50	Charles Wright & the Watts 103rd Street Rhythm Band	Love Land	0
50	51	Tyrone Davis	Turn Back the Hands of Time	0
51	52	The Kinks	Lola	0
52	53	Mungo Jerry	In the Summertime	0
53	54	R. Dean Taylor	Indiana Wants Me	0
54	55	Rare Earth	(I Know) I'm Losing You	0
55	56	Bobby Sherman	Easy Come, Easy Go	0
56	57	Charles Wright & the Watts 103rd Street Rhythm Band	Express Yourself	0
57	58	The Four Tops	Still Water (Love)	0
58	59	Chicago	Make Me Smile	0
59	60	Frijid Pink	The House of the Rising Sun	0
60	61	Chicago	25 or 6 to 4	0
61	62	White Plains	My Baby Loves Lovin'	0
62	63	The Friends of Distinction	Love or Let Me Be Lonely	0
63	64	The Brotherhood of Man	United We Stand	0
64	65	The Carpenters	We've Only Just Begun	0
65	66	Mark Lindsay	Arizona	0
66	67	James Taylor	Fire and Rain	0
67	68	Gene Chandler	Groovy Situation	0
68	69	Santana	Evil Ways	0
69	70	The Guess Who	No Time	0
70	71	The Delfonics	Didn't I (Blow Your Mind This Time)	0
71	72	Elvis Presley	The Wonder of You	0
72	73	Creedence Clearwater Revival	Up Around the Bend	0
73	74	Ronnie Dyson	(If You Let Me Make Love To You Then) Why Can't I Touch You?	0
74	75	B.J. Thomas	I Just Can't Help Believing	0
75	76	The Spinners	It's a Shame	0
76	77	Bobbi Martin	For the Love of Him	0
77	78	Mountain	Mississippi Queen	0
78	79	Ike & Tina Turner	I Want to Take You Higher	0
79	80	Joe Cocker	The Letter	0
80	81	Tee-Set	Ma Belle Amie	0
81	82	The Originals	The Bells	0
82	83	Christie	Yellow River	0
83	84	100 Proof (Aged in Soul)	Somebody's Been Sleeping	0
84	85	The Ides of March	Vehicle	0
85	86	The Pipkins	Gimme Dat Ding	0
86	87	Robin McNamara	Lay a Little Lovin' on Me	0
87	88	The Supremes	Up the Ladder to the Roof	0
88	89	Creedence Clearwater Revival	Travelin' Band	0
89	90	The Sandpipers	Come Saturday Morning	0
90	91	The Temptations	Psychedelic Shack	0
91	92	Tom Jones	Without Love (There Is Nothing)	0
92	93	Pacific Gas & Electric	Are You Ready?	0
93	94	Crosby, Stills, Nash & Young	Woodstock	0
94	95	Dionne Warwick	I'll Never Fall in Love Again	0
95	96	The New Seekers	Look What They've Done to My Song Ma	0
96	97	Joe South	Walk A Mile In My Shoes	0
97	98	B.B. King	The Thrill Is Gone	0
98	99	Glen Campbell	It's Only Make Believe	0
99	100	Aretha Franklin	Call Me	0
