	Ranking	Artist	Title	Played
0	1	Kesha	Tik Tok	0
1	2	Lady Antebellum	Need You Now	0
2	3	Train	Hey, Soul Sister	0
3	4	Katy Perry featuring Snoop Dogg	California Gurls	0
4	5	Usher featuring will.i.am	OMG	0
5	6	B.o.B featuring Hayley Williams	Airplanes	0
6	7	Eminem featuring Rihanna	Love the Way You Lie	0
7	8	Lady Gaga	Bad Romance	0
8	9	Taio Cruz	Dynamite	0
9	10	Taio Cruz featuring Ludacris	Break Your Heart	0
10	11	B.o.B featuring Bruno Mars	Nothin' on You	0
11	12	Enrique Iglesias featuring Pitbull	I Like It	0
12	13	Young Money featuring Lloyd	BedRock	0
13	14	Jason Derulo	In My Head	0
14	15	Rihanna	Rude Boy	0
15	16	Lady Gaga featuring Beyoncé	Telephone	0
16	17	Katy Perry	Teenage Dream	0
17	18	Bruno Mars	Just the Way You Are	0
18	19	Mike Posner	Cooler Than Me	0
19	20	The Black Eyed Peas	Imma Be	0
20	21	Jay-Z featuring Alicia Keys	Empire State of Mind	0
21	22	Usher featuring Pitbull	DJ Got Us Fallin' in Love	0
22	23	Travie McCoy featuring Bruno Mars	Billionaire	0
23	24	Eminem	Not Afraid	0
24	25	Iyaz	Replay	0
25	26	David Guetta featuring Akon	Sexy Bitch	0
26	27	The Script	Breakeven	0
27	28	Kesha	Your Love Is My Drug	0
28	29	The Black Eyed Peas	I Gotta Feeling	0
29	30	Owl City	Fireflies	0
30	31	Trey Songz featuring Fabolous	Say Aah	0
31	32	Drake	Find Your Love	0
32	33	Lady Gaga	Alejandro	0
33	34	Jason Derulo	Ridin' Solo	0
34	35	Nelly	Just a Dream	0
35	36	Ludacris	How Low	0
36	37	Far East Movement featuring The Cataracs and Dev	Like a G6	0
37	38	Timbaland featuring Justin Timberlake	Carry Out	0
38	39	Michael Bublé	Haven't Met You Yet	0
39	40	Flo Rida featuring David Guetta	Club Can't Handle Me	0
40	41	Jay Sean featuring Lil Wayne	Down	0
41	42	La Roux	Bulletproof	0
42	43	Jason Derulo	Whatcha Say	0
43	44	Justin Bieber featuring Ludacris	Baby	0
44	45	Adam Lambert	Whataya Want from Me	0
45	46	Taylor Swift	Mine	0
46	47	Rihanna	Only Girl (In the World)	0
47	48	Kris Allen	Live Like We're Dying	0
48	49	Rihanna featuring Jeezy	Hard	0
49	50	Jay-Z featuring Mr Hudson	Young Forever	0
50	51	Kesha featuring 3OH!3	Blah Blah Blah	0
51	52	Trey Songz featuring Nicki Minaj	Bottoms Up	0
52	53	Jay Sean featuring Sean Paul and Lil Jon	Do You Remember	0
53	54	OneRepublic	All the Right Moves	0
54	55	Orianthi	According to You	0
55	56	Ludacris featuring Nicki Minaj	My Chick Bad	0
56	57	Taylor Swift	You Belong with Me	0
57	58	The Black Eyed Peas	Meet Me Halfway	0
58	59	Kesha	Take It Off	0
59	60	Drake	Over	0
60	61	Neon Trees	Animal	0
61	62	Maroon 5	Misery	0
62	63	B.o.B featuring Rivers Cuomo	Magic	0
63	64	Lady Gaga	Paparazzi	0
64	65	New Boyz featuring Ray J	Tie Me Down	0
65	66	Nicki Minaj	Your Love	0
66	67	Miley Cyrus	Party in the U.S.A.	0
67	68	Chris Brown featuring Tyga and Kevin McCall	Deuces	0
68	69	Britney Spears	3	0
69	70	Shontelle	Impossible	0
70	71	Drake featuring Kanye West, Lil Wayne and Eminem	Forever	0
71	72	Boys Like Girls featuring Taylor Swift	Two Is Better Than One	0
72	73	3OH!3 featuring Kesha	My First Kiss	0
73	74	Kelly Clarkson	Already Gone	0
74	75	The Black Eyed Peas	Rock That Body	0
75	76	OneRepublic	Secrets	0
76	77	Selena Gomez & the Scene	Naturally	0
77	78	Alicia Keys	Un-Thinkable (I'm Ready)	0
78	79	DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross	All I Do Is Win	0
79	80	Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne	I Made It (Cash Money Heroes)	0
80	81	Sugarland	Stuck Like Glue	0
81	82	Usher featuring Plies	Hey Daddy (Daddy's Home)	0
82	83	Usher	There Goes My Baby	0
83	84	Taylor Swift	Today Was a Fairytale	0
84	85	Timbaland featuring Drake	Say Something	0
85	86	Beyoncé	Sweet Dreams	0
86	87	Kings of Leon	Use Somebody	0
87	88	Carrie Underwood	Undo It	0
88	89	Sean Kingston and Justin Bieber	Eenie Meenie	0
89	90	Lil Wayne featuring Drake	Right Above It	0
90	91	Miranda Lambert	The House That Built Me	0
91	92	The Band Perry	If I Die Young	0
92	93	Paramore	The Only Exception	0
93	94	Lady Antebellum	American Honey	0
94	95	Sara Bareilles	King of Anything	0
95	96	Daughtry	Life After You	0
96	97	Uncle Kracker	Smile	0
97	98	Cali Swag District	Teach Me How to Dougie	0
98	99	Alicia Keys	Try Sleeping with a Broken Heart	0
99	100	Jerrod Niemann	Lover, Lover	0
