	Ranking	Artist	Title	Played
0	1	The Mamas & the Papas	California Dreamin'	0
1	2	? and the Mysterians	96 Tears	0
2	3	Jimmy Ruffin	What Becomes of the Brokenhearted	0
3	4	The Monkees	Last Train to Clarksville	0
4	5	Four Tops	Reach Out I'll Be There	0
5	6	Nancy Sinatra	These Boots Are Made for Walkin'	0
6	7	The Association	Cherish	0
7	8	Frank Sinatra	Strangers in the Night	0
8	9	Paul Revere & the Raiders	Kicks	0
9	10	SSgt Barry Sadler	The Ballad of the Green Berets	0
10	11	The Young Rascals	Good Lovin'	0
11	12	The Righteous Brothers	(You're My) Soul and Inspiration	0
12	13	The Supremes	You Can't Hurry Love	0
13	14	Bobby Hebb	Sunny	0
14	15	The Happenings	See You in September	0
15	16	Sam the Sham and the Pharaohs	Li'l Red Riding Hood	0
16	17	Lou Christie	Lightnin' Strikes	0
17	18	Johnny Rivers	Poor Side of Town	0
18	19	Lee Dorsey	Working in the Coal Mine	0
19	20	The Mindbenders	A Groovy Kind of Love	0
20	21	Dusty Springfield	You Don't Have to Say You Love Me	0
21	22	Donovan	Sunshine Superman	0
22	23	Sandy Posey	Born a Woman	0
23	24	The Mamas & the Papas	Monday, Monday	0
24	25	The Cyrkle	Red Rubber Ball	0
25	26	Roger Williams	Born Free	0
26	27	The Left Banke	Walk Away Renée	0
27	28	The Capitols	Cool Jerk	0
28	29	Carla Thomas	B-A-B-Y	0
29	30	Tommy James and the Shondells	Hanky Panky	-1
30	31	Percy Sledge	When a Man Loves a Woman	0
31	32	The Outsiders	Time Won't Let Me	0
32	33	The Hollies	Bus Stop	0
33	34	The Rolling Stones	Paint It Black	0
34	35	The Lovin' Spoonful	Summer in the City	0
35	36	B. J. Thomas & the Triumphs	I'm So Lonesome I Could Cry	0
36	37	Petula Clark	My Love	0
37	38	The Lovin' Spoonful	Daydream	0
38	39	The Temptations	Ain't Too Proud to Beg	0
39	40	The Troggs	Wild Thing	0
40	41	Bob Lind	Elusive Butterfly	0
41	42	Simon & Garfunkel	I Am a Rock	0
42	43	The Standells	Dirty Water	0
43	44	Tommy Roe	Hooray for Hazel	0
44	45	Ray Charles	Crying Time	0
45	46	Tommy Roe	Sweet Pea	0
46	47	Johnny Rivers	Secret Agent Man	0
47	48	The Lovin' Spoonful	Did You Ever Have to Make Up Your Mind?	0
48	49	The Beatles	We Can Work It Out	0
49	50	Simon & Garfunkel	Homeward Bound	0
50	51	Stevie Wonder	Uptight (Everything's Alright)	0
51	52	Cher	Bang Bang (My Baby Shot Me Down)	0
52	53	The Beach Boys	Sloop John B	0
53	54	The Rolling Stones	19th Nervous Breakdown	0
54	55	The Surfaris	Wipe Out	0
55	56	Count Five	Psychotic Reaction	0
56	57	The Beatles	Paperback Writer	0
57	58	The Temptations	Beauty Is Only Skin Deep	0
58	59	The T-Bones	No Matter What Shape (Your Stomach's In)	0
59	60	Robert Parker	Barefootin'	0
60	61	Paul Revere & the Raiders	Just Like Me	0
61	62	Deon Jackson	Love Makes the World Go Round	0
62	63	Crispian St. Peters	The Pied Piper	0
63	64	Ray Conniff Singers	Somewhere My Love	0
64	65	David Houston	Almost Persuaded	0
65	66	Bobby Darin	If I Were a Carpenter	0
66	67	The Marvelettes	Don't Mess with Bill	0
67	68	Neil Diamond	Cherry, Cherry	0
68	69	Dionne Warwick	Message to Michael	0
69	70	Lou Rawls	Love Is a Hurtin' Thing	0
70	71	The Shadows of Knight	Gloria	0
71	72	The Supremes	My World Is Empty Without You	0
72	73	The Beach Boys	Barbara Ann	0
73	74	Bob Dylan	Rainy Day Women #12 & 35	0
74	75	The Sandpipers	Guantanamera	0
75	76	James & Bobby Purify	I'm Your Puppet	0
76	77	Wilson Pickett	Land of 1000 Dances	0
77	78	The Shades of Blue	Oh How Happy	0
78	79	Peter and Gordon	Woman	0
79	80	The Turtles	You Baby	0
80	81	The Chiffons	Sweet Talkin' Guy	0
81	82	The Vogues	Five O'Clock World	0
82	83	Los Bravos	Black Is Black	0
83	84	The Beatles	Nowhere Man	0
84	85	Herman's Hermits	Dandy	0
85	86	Slim Harpo	Baby Scratch My Back	0
86	87	Gary Lewis & the Playboys	She's Just My Style	0
87	88	Chris Montez	The More I See You	0
88	89	The Bobby Fuller Four	I Fought the Law	0
89	90	The Beatles	Yellow Submarine	0
90	91	Paul Revere & the Raiders	Hungry	0
91	92	Herb Alpert and the Tijuana Brass	Zorba the Greek	0
92	93	The Yardbirds	Shapes of Things	0
93	94	The Association	Along Comes Mary	0
94	95	Wilson Pickett	634-5789 (Soulsville, U.S.A.)	0
95	96	Mitch Ryder & The Detroit Wheels	Devil with a Blue Dress On/Good Golly, Miss Molly	0
96	97	The Beach Boys	Wouldn't It Be Nice	0
97	98	The Isley Brothers	This Old Heart of Mine	0
98	99	Gary Lewis & the Playboys	Green Grass	0
99	100	The Kinks	A Well Respected Man	0
