	Ranking	Artist	Title	Played
0	1	Bryan Adams	(Everything I Do) I Do It for You	0
1	2	Color Me Badd	I Wanna Sex You Up	0
2	3	C+C Music Factory	Gonna Make You Sweat (Everybody Dance Now)	0
3	4	Paula Abdul	Rush Rush	0
4	5	Timmy T	One More Try	0
5	6	EMF	Unbelievable	0
6	7	Extreme	More Than Words	0
7	8	Hi-Five	I Like the Way (The Kissing Game)	0
8	9	Surface	The First Time	0
9	10	Amy Grant	Baby Baby	0
10	11	Boyz II Men	Motownphilly	0
11	12	Stevie B	Because I Love You (The Postman Song)	0
12	13	Mariah Carey	Someday	0
13	14	Damn Yankees	High Enough	0
14	15	Bette Midler	From a Distance	0
15	16	Whitney Houston	All the Man That I Need	0
16	17	Jesus Jones	Right Here, Right Now	0
17	18	Color Me Badd	I Adore Mi Amor	0
18	19	Janet Jackson	Love Will Never Do (Without You)	0
19	20	Marky Mark and the Funky Bunch f. Loleatta Holloway	Good Vibrations	0
20	21	Madonna	Justify My Love	0
21	22	Mariah Carey	Emotions	0
22	23	Roxette	Joyride	0
23	24	Karyn White	Romantic	0
24	25	Tara Kemp	Hold You Tight	0
25	26	Mariah Carey	I Don't Wanna Cry	0
26	27	Wilson Phillips	You're in Love	0
27	28	Amy Grant	Every Heartbeat	0
28	29	Ralph Tresvant	Sensitivity	0
29	30	Cathy Dennis	Touch Me (All Night Long)	0
30	31	Londonbeat	I've Been Thinking About You	0
31	32	Natural Selection	Do Anything	0
32	33	R.E.M.	Losing My Religion	0
33	34	Gloria Estefan	Coming Out of the Dark	0
34	35	Lenny Kravitz	It Ain't Over 'til It's Over	0
35	36	C+C Music Factory	Here We Go	0
36	37	Celine Dion	Where Does My Heart Beat Now	0
37	38	DJ Jazzy Jeff & The Fresh Prince	Summertime	0
38	39	Scorpions	Wind of Change	0
39	40	Rythm Syndicate	P.A.S.S.I.O.N.	0
40	41	Paula Abdul	The Promise of a New Day	0
41	42	Whitney Houston	I'm Your Baby Tonight	0
42	43	FireHouse	Love of a Lifetime	0
43	44	Roxette	Fading Like a Flower (Every Time You Leave)	0
44	45	Tracie Spencer	This House	0
45	46	Extreme	Hole Hearted	0
46	47	Luther Vandross	Power of Love/Love Power	0
47	48	Wilson Phillips	Impulsive	0
48	49	Michael Bolton	Love Is a Wonderful Thing	0
49	50	Rod Stewart	Rhythm of My Heart	0
50	51	C+C Music Factory	Things That Make You Go Hmmm...	0
51	52	Divinyls	I Touch Myself	0
52	53	DNA featuring Suzanne Vega	Tom's Diner	0
53	54	Another Bad Creation	Iesha	0
54	55	Bonnie Raitt	Something to Talk About	0
55	56	Nelson	After the Rain	0
56	57	Vanilla Ice	Play That Funky Music	0
57	58	Corina	Temptation	0
58	59	Bryan Adams	Can't Stop This Thing We Started	0
59	60	Hi-Five	I Can't Wait Another Minute	0
60	61	The KLF	3 a.m. Eternal	0
61	62	Michael Bolton	Time, Love and Tenderness	0
62	63	Enigma	Sadeness (Part I)	0
63	64	LL Cool J	Around the Way Girl	0
64	65	The Escape Club	I'll Be There	0
65	66	Prince and The New Power Generation	Cream	0
66	67	Heavy D & the Boyz	Now That We Found Love	0
67	68	Styx	Show Me the Way	0
68	69	Mariah Carey	Love Takes Time	0
69	70	Rick Astley	Cry for Help	0
70	71	UB40	The Way You Do the Things You Do	0
71	72	UB40	Here I Am (Come and Take Me)	0
72	73	Tesla	Signs	0
73	74	Cathy Dennis	Too Many Walls	0
74	75	Seal	Crazy	0
75	76	Keith Sweat	I'll Give All My Love to You	0
76	77	Michael W. Smith	Place in this World	0
77	78	Poison	Something to Believe In	0
78	79	Chris Isaak	Wicked Game	0
79	80	Oleta Adams	Get Here	0
80	81	Tevin Campbell	Round and Round	0
81	82	Queensrÿche	Silent Lucidity	0
82	83	Will to Power	I'm Not in Love	0
83	84	Tara Kemp	Piece of My Heart	0
84	85	Jesus Jones	Real Real Real	0
85	86	Aaron Neville	Everybody Plays the Fool	0
86	87	Cathy Dennis	Just Another Dream	-1
87	88	Black Box	Strike It Up	0
88	89	Gerardo	Rico Suave	0
89	90	INXS	Disappear	0
90	91	Deee-Lite	Groove Is in the Heart	0
91	92	Sting	All This Time	0
92	93	Chesney Hawkes	The One and Only	0
93	94	Naughty by Nature	O.P.P.	0
94	95	George Michael	Freedom! '90	0
95	96	Warrant	I Saw Red	0
96	97	Winger	Miles Away	0
97	98	Salt-n-Pepa	Do You Want Me	0
98	99	Rod Stewart	The Motown Song	0
99	100	R.E.M.	Shiny Happy People	0
