	Ranking	Artist	Title	Played
0	1	Roberta Flack	The First Time Ever I Saw Your Face	0
1	2	Gilbert O'Sullivan	Alone Again (Naturally)	0
2	3	Don McLean	American Pie	0
3	4	Harry Nilsson	Without You	0
4	5	Sammy Davis Jr.	The Candy Man	0
5	6	Joe Tex	I Gotcha	0
6	7	Bill Withers	Lean on Me	0
7	8	Mac Davis	Baby, Don't Get Hooked on Me	0
8	9	Melanie	Brand New Key	0
9	10	Wayne Newton	Daddy Don't You Walk So Fast	0
10	11	Al Green	Let's Stay Together	0
11	12	Looking Glass	Brandy (You're a Fine Girl)	0
12	13	The Chi-Lites	Oh Girl	0
13	14	Gallery	Nice to Be with You	0
14	15	Chuck Berry	My Ding-a-Ling	0
15	16	Luther Ingram	(If Loving You Is Wrong) I Don't Want to Be Right	0
16	17	Neil Young	Heart of Gold	0
17	18	The Stylistics	Betcha by Golly, Wow	0
18	19	The Staple Singers	I'll Take You There	0
19	20	Michael Jackson	Ben	0
20	21	Robert John	The Lion Sleeps Tonight	0
21	22	Billy Preston	Outa-Space	0
22	23	War	Slippin' into Darkness	0
23	24	The Hollies	Long Cool Woman in a Black Dress	0
24	25	Mouth & MacNeal	How Do You Do	0
25	26	Neil Diamond	Song Sung Blue	0
26	27	America	A Horse with No Name	0
27	28	Hot Butter	Popcorn	0
28	29	The Main Ingredient	Everybody Plays the Fool	0
29	30	Climax	Precious and Few	0
30	31	The 5th Dimension	(Last Night) I Didn't Get to Sleep at All	0
31	32	The Moody Blues	Nights in White Satin	0
32	33	Raspberries	Go All the Way	0
33	34	Cornelius Brothers & Sister Rose	Too Late to Turn Back Now	0
34	35	The O'Jays	Back Stabbers	0
35	36	The Osmonds	Down by the Lazy River	0
36	37	Jonathan Edwards	Sunshine	0
37	38	Mel and Tim	Starting All Over Again	0
38	39	Badfinger	Day After Day	0
39	40	Elton John	Rocket Man	0
40	41	Michael Jackson	Rockin' Robin	0
41	42	Daniel Boone	Beautiful Sunday	0
42	43	Dennis Coffey	Scorpio	0
43	44	Cat Stevens	Morning Has Broken	0
44	45	Arlo Guthrie	City of New Orleans	0
45	46	Ricky Nelson	Garden Party	0
46	47	Johnny Nash	I Can See Clearly Now	0
47	48	Elvis Presley	Burning Love	0
48	49	Betty Wright	Clean Up Woman	0
49	50	Argent	Hold Your Head Up	0
50	51	The Chakachas	Jungle Fever	0
51	52	Bread	Everything I Own	0
52	53	The Dramatics	In the Rain	0
53	54	Al Green	Look What You Done for Me	0
54	55	Donna Fargo	The Happiest Girl in the Whole U.S.A.	0
55	56	T. Rex	Bang a Gong (Get it On)	0
56	57	Paul Simon	Mother and Child Reunion	0
57	58	Roberta Flack & Donny Hathaway	Where Is the Love	0
58	59	Al Green	I'm Still in Love with You	0
59	60	Derek and the Dominos	Layla	0
60	61	Aretha Franklin	Day Dreaming	0
61	62	Cher	The Way of Love	0
62	63	Three Dog Night	Black and White	0
63	64	Dr. Hook & the Medicine Show	Sylvia's Mother	0
64	65	The Carpenters	Hurting Each Other	0
65	66	Harry Nilsson	Coconut	0
66	67	Donny Osmond	Puppy Love	0
67	68	Jim Croce	You Don't Mess Around with Jim	0
68	69	Commander Cody and His Lost Planet Airmen	Hot Rod Lincoln	0
69	70	Sonny & Cher	A Cowboy's Work Is Never Done	0
70	71	Apollo 100	Joy	0
71	72	Carly Simon	Anticipation	0
72	73	Three Dog Night	Never Been to Spain	0
73	74	Charley Pride	Kiss an Angel Good Mornin'	0
74	75	Alice Cooper	School's Out	0
75	76	Chicago	Saturday in the Park	0
76	77	Joe Simon	Drowning in the Sea of Love	0
77	78	Bill Withers	Use Me	0
78	79	Sly & the Family Stone	Family Affair	0
79	80	The Jimmy Castor Bunch	Troglodyte (Cave Man)	0
80	81	Redbone	The Witch Queen of New Orleans	0
81	82	Curtis Mayfield	Freddie's Dead	0
82	83	Joe Simon	Power of Love	0
83	84	Jerry Butler & Brenda Lee Eager	Ain't Understanding Mellow	0
84	85	Harry Chapin	Taxi	0
85	86	Beverly Bremers	Don't Say You Don't Remember	0
86	87	Bobby Vinton	Sealed with a Kiss	0
87	88	Todd Rundgren	I Saw the Light	0
88	89	Sailcat	Motorcycle Mama	0
89	90	Original Cast of Godspell	Day by Day	0
90	91	Yes	Roundabout	0
91	92	Jackson Browne	Doctor My Eyes	0
92	93	The New Seekers	I'd Like to Teach the World to Sing (In Perfect Harmony)	0
93	94	Don McLean	Vincent	0
94	95	The Detroit Emeralds	Baby Let Me Take You (In My Arms)	0
95	96	Rick Springfield	Speak to the Sky	0
96	97	The Hillside Singers	I'd Like to Teach the World to Sing (In Perfect Harmony)	0
97	98	Love Unlimited	Walkin' in the Rain with the One I Love	0
98	99	James Brown	Get on the Good Foot	0
99	100	The Isley Brothers	Pop That Thang	0
