	Ranking	Artist	Title	Played
0	1	Elton John	Candle in the Wind 97/Something About the Way You Look Tonight	0
1	2	Jewel	You Were Meant for Me / Foolish Games	0
2	3	Puff Daddy and Faith Evans featuring 112	I'll Be Missing You	0
3	4	Toni Braxton	Un-Break My Heart	0
4	5	Puff Daddy featuring Mase	Can't Nobody Hold Me Down	0
5	6	R. Kelly	I Believe I Can Fly	0
6	7	En Vogue	Don't Let Go (Love)	0
7	8	Mark Morrison	Return of the Mack	0
8	9	LeAnn Rimes	How Do I Live	0
9	10	Spice Girls	Wannabe	0
10	11	Backstreet Boys	Quit Playing Games (With My Heart)	0
11	12	Hanson	MMMBop	0
12	13	Monica	For You I Will	0
13	14	Usher	You Make Me Wanna...	0
14	15	Meredith Brooks	Bitch	0
15	16	Keith Sweat featuring Athena Cage	Nobody	0
16	17	Third Eye Blind	Semi-Charmed Life	0
17	18	Duncan Sheik	Barely Breathing	0
18	19	Az Yet featuring Peter Cetera	Hard to Say I'm Sorry	0
19	20	The Notorious B.I.G. featuring Puff Daddy and Mase	Mo Money Mo Problems	0
20	21	The Verve Pipe	The Freshmen	0
21	22	Savage Garden	I Want You	0
22	23	Blackstreet featuring Dr. Dre	No Diggity	0
23	24	Rome	I Belong to You (Every Time I See Your Face)	0
24	25	The Notorious B.I.G.	Hypnotize	0
25	26	Babyface	Every Time I Close My Eyes	0
26	27	Dru Hill	In My Bed	0
27	28	Spice Girls	Say You'll Be There	0
28	29	Robyn	Do You Know (What It Takes)	0
29	30	Boyz II Men	4 Seasons of Loneliness	0
30	31	Changing Faces	G.H.E.T.T.O.U.T.	0
31	32	Mariah Carey	Honey	0
32	33	Whitney Houston	I Believe in You and Me	0
33	34	Freak Nasty	Da' Dip	0
34	35	Spice Girls	2 Become 1	0
35	36	Sister Hazel	All for You	0
36	37	112	Cupid	0
37	38	Paula Cole	Where Have All the Cowboys Gone?	0
38	39	Shawn Colvin	Sunny Came Home	0
39	40	Tim McGraw with Faith Hill	It's Your Love	0
40	41	Gina G	Ooh Aah... Just a Little Bit	0
41	42	Merril Bainbridge	Mouth	0
42	43	Allure featuring 112	All Cried Out	0
43	44	New Edition	I'm Still in Love with You	0
44	45	98 Degrees	Invisible Man	0
45	46	Lil' Kim featuring Da Brat, Left Eye, M. Elliott and A. Martinez	Not Tonight	0
46	47	Bone Thugs-n-Harmony	Look into My Eyes	0
47	48	702	Get It Together	0
48	49	Celine Dion	All by Myself	0
49	50	Celine Dion	It's All Coming Back to Me Now	0
50	51	Somethin' for the People featuring Trina & Tamara	My Love Is the Shhh!	0
51	52	No Mercy	Where Do You Go	0
52	53	Barbra Streisand and Bryan Adams	I Finally Found Someone	0
53	54	Foxy Brown featuring Jay-Z	I'll Be	0
54	55	Sheryl Crow	If It Makes You Happy	0
55	56	Dru Hill	Never Make a Promise	0
56	57	Journey	When You Love a Woman	0
57	58	Magoo and Timbaland	Up Jumps da Boogie	0
58	59	Toni Braxton	I Don't Want To / I Love Me Some Him	0
59	60	Sheryl Crow	Everyday Is a Winding Road	0
60	61	MC Lyte	Cold Rock a Party	0
61	62	Ginuwine	Pony	0
62	63	Sarah McLachlan	Building a Mystery	0
63	64	Donna Lewis	I Love You Always Forever	0
64	65	White Town	Your Woman	0
65	66	Coolio featuring 40 Thevz	C U When U Get There	0
66	67	Eric Clapton	Change the World	0
67	68	B-Rock and the Bizz	My Baby Daddy	0
68	69	Chumbawamba	Tubthumping	0
69	70	R. Kelly	Gotham City	0
70	71	Az Yet	Last Night	0
71	72	Various Artists	ESPN Presents The Jock Jam	0
72	73	Heavy D	Big Daddy	0
73	74	Total	What About Us	0
74	75	Scarface featuring 2Pac and Johnny P.	Smile	0
75	76	Montell Jordan	What's on Tonight	0
76	77	Bruce Springsteen	Secret Garden	0
77	78	Aaliyah	The One I Gave My Heart To	0
78	79	Seal	Fly Like an Eagle	0
79	80	Lil' Kim featuring Puff Daddy	No Time	0
80	81	Luscious Jackson	Naked Eye	0
81	82	Los del Río	Macarena (Bayside Boys Mix)	0
82	83	Erykah Badu	On & On	0
83	84	Joe	Don't Wanna Be a Player	0
84	85	Warren G	I Shot the Sheriff	0
85	86	Brian McKnight featuring Mase	You Should Be Mine (Don't Waste Your Time)	0
86	87	Madonna	Don't Cry for Me Argentina	0
87	88	SWV featuring Puff Daddy	Someone	0
88	89	Michael Bolton	Go the Distance	0
89	90	Real McCoy	One More Time	0
90	91	Next	Butta Love	0
91	92	Mr. President	Coco Jamboo	0
92	93	Keith Sweat	Twisted	0
93	94	Aqua	Barbie Girl	0
94	95	The Cranberries	When You're Gone / Free to Decide	0
95	96	DJ Kool	Let Me Clear My Throat	0
96	97	The Blackout All-Stars	I Like It	0
97	98	Toni Braxton	You're Makin' Me High / Let It Flow	0
98	99	Madonna	You Must Love Me	0
99	100	Ray J	Let It Go	0
