	Ranking	Artist	Title	Played
0	1	Glass Animals	Heat Waves	0
1	2	Harry Styles	As It Was	0
2	3	The Kid Laroi and Justin Bieber	Stay	0
3	4	Adele	Easy on Me	0
4	5	Ed Sheeran	Shivers	0
5	6	Jack Harlow	First Class	0
6	7	Latto	Big Energy	0
7	8	Justin Bieber	Ghost	0
8	9	Kodak Black	Super Gremlin	0
9	10	Elton John and Dua Lipa	Cold Heart (Pnau remix)	0
10	11	Future featuring Drake and Tems	Wait for U	0
11	12	Lizzo	About Damn Time	0
12	13	Ed Sheeran	Bad Habits	0
13	14	Lil Nas X	Thats What I Want	0
14	15	Imagine Dragons and JID	Enemy	0
15	16	Lil Nas X and Jack Harlow	Industry Baby	0
16	17	Gayle	ABCDEFU	0
17	18	Doja Cat	Need to Know	0
18	19	Morgan Wallen	Wasted on You	0
19	20	Bad Bunny and Chencho Corleone	Me Porto Bonito	0
20	21	Doja Cat	Woman	0
21	22	Bad Bunny	Tití Me Preguntó	0
22	23	Kate Bush	Running Up That Hill (A Deal with God)	0
23	24	The Encanto cast	We Don't Talk About Bruno	0
24	25	Harry Styles	Late Night Talking	0
25	26	Post Malone featuring Doja Cat	I Like You (A Happier Song)	0
26	27	Morgan Wallen	You Proof	0
27	28	Steve Lacy	Bad Habit	0
28	29	Nicky Youre and Dazy	Sunroof	0
29	30	Post Malone and the Weeknd	One Right Now	0
30	31	Olivia Rodrigo	Good 4 U	0
31	32	Em Beihold	Numb Little Bug	0
32	33	Drake featuring 21 Savage	Jimmy Cooks	0
33	34	Cody Johnson	'Til You Can't	0
34	35	Walker Hayes	Fancy Like	0
35	36	Luke Combs	The Kind of Love We Make	0
36	37	OneRepublic	I Ain't Worried	0
37	38	Beyoncé	Break My Soul	0
38	39	Zach Bryan	Something in the Orange	0
39	40	The Weeknd and Ariana Grande	Save Your Tears	0
40	41	Silk Sonic (Bruno Mars and Anderson .Paak)	Smokin out the Window	0
41	42	Dua Lipa	Levitating	0
42	43	Lil Baby	In a Minute	0
43	44	Bad Bunny	Moscow Mule	0
44	45	Doja Cat and the Weeknd	You Right	0
45	46	Cole Swindell	She Had Me at Heads Carolina	0
46	47	Doja Cat	Vegas	0
47	48	Gunna and Future featuring Young Thug	Pushin P	0
48	49	Jordan Davis and Luke Bryan	Buy Dirt	0
49	50	SZA	I Hate U	0
50	51	Dove Cameron	Boyfriend	0
51	52	Joji	Glimpse of Us	0
52	53	Jessica Darrow	Surface Pressure	0
53	54	Bailey Zimmerman	Fall in Love	0
54	55	CKay	Love Nwantiti (Ah Ah Ah)	0
55	56	Nicki Minaj	Super Freaky Girl	0
56	57	Muni Long	Hrs and Hrs	0
57	58	Morgan Wallen	Sand in My Boots	0
58	59	Becky G and Karol G	Mamiii	0
59	60	Drake featuring 21 Savage and Project Pat	Knife Talk	0
60	61	Walker Hayes	AA	0
61	62	Megan Thee Stallion and Dua Lipa	Sweetest Pie	0
62	63	Karol G	Provenza	0
63	64	Wizkid featuring Justin Bieber and Tems	Essence	0
64	65	Mariah Carey	All I Want for Christmas Is You	0
65	66	Camila Cabello featuring Ed Sheeran	Bam Bam	0
66	67	Tyler Hubbard	5 Foot 9	0
67	68	Doja Cat	Get Into It (Yuh)	0
68	69	Bad Bunny	Efecto	0
69	70	Bailey Zimmerman	Rock and a Hard Place	0
70	71	Luke Combs	Doin' This	0
71	72	Adele	Oh My God	0
72	73	Neiked, Mae Muller and Polo G	Better Days	0
73	74	The Anxiety: Willow and Tyler Cole	Meet Me at Our Spot	0
74	75	Lauren Spencer-Smith	Fingers Crossed	0
75	76	Taylor Swift	All Too Well (Taylor's Version)	0
76	77	Bad Bunny and Rauw Alejandro	Party	0
77	78	Bad Bunny	Después de la Playa	0
78	79	Chris Stapleton	You Should Probably Leave	0
79	80	Brenda Lee	Rockin' Around the Christmas Tree	0
80	81	Lil Durk featuring Morgan Wallen	Broadway Girls	0
81	82	Parmalee	Take My Name	0
82	83	Lil Durk featuring Gunna	What Happened to Virgil	0
83	84	Future	Puffin on Zootiez	0
84	85	Kane Brown	Like I Love Country Music	0
85	86	Bobby Helms	Jingle Bell Rock	0
86	87	Bad Bunny and Bomba Estéreo	Ojitos Lindos	0
87	88	Jason Aldean	Trouble with a Heartbreak	0
88	89	Burl Ives	A Holly Jolly Christmas	0
89	90	Doja Cat featuring SZA	Kiss Me More	0
90	91	Russell Dickerson featuring Jake Scott	She Likes It	0
91	92	Cole Swindell and Lainey Wilson	Never Say Never	0
92	93	Scotty McCreery	Damn Strait	0
93	94	Tate McRae	She's All I Wanna Be	0
94	95	Jon Pardi	Last Night Lonely	0
95	96	Ernest featuring Morgan Wallen	Flower Shops	0
96	97	Jnr Choi and Sam Tompkins	To the Moon	0
97	98	Sam Smith and Kim Petras	Unholy	0
98	99	Kane Brown	One Mississippi	0
99	100	Maren Morris	Circles Around This Town	0
