	Ranking	Artist	Title	Played
0	1	Whitney Houston	I Will Always Love You	0
1	2	Tag Team	Whoomp! (There It Is)	0
2	3	UB40	Can't Help Falling in Love	0
3	4	Janet Jackson	That's the Way Love Goes	0
4	5	Silk	Freak Me	0
5	6	SWV	Weak	0
6	7	Shai	If I Ever Fall in Love	0
7	8	Mariah Carey	Dreamlover	0
8	9	Wreckx-n-Effect	Rump Shaker	0
9	10	Snow	Informer	0
10	11	Dr. Dre	Nuthin' but a 'G' Thang	0
11	12	Boyz II Men	In the Still of the Nite	0
12	13	Jade	Don't Walk Away	0
13	14	H-Town	Knockin' da Boots	0
14	15	Jodeci	Lately	0
15	16	Duice	Dazzey Duks	0
16	17	Robin S.	Show Me Love	0
17	18	Peabo Bryson and Regina Belle	A Whole New World	0
18	19	Janet Jackson	If	0
19	20	SWV	I'm So Into You	0
20	21	Vanessa Williams and Brian McKnight	Love Is	0
21	22	Soul Asylum	Runaway Train	0
22	23	Exposé	I'll Never Get Over You (Getting Over Me)	0
23	24	Paperboy	Ditty	0
24	25	Snap!	Rhythm Is a Dancer	0
25	26	Billy Joel	The River of Dreams	0
26	27	The Proclaimers	I'm Gonna Be (500 Miles)	0
27	28	Spin Doctors	Two Princes	0
28	29	SWV	Right Here (Human Nature) / Downtown	0
29	30	Whitney Houston	I Have Nothing	0
30	31	Arrested Development	Mr. Wendal	0
31	32	Rod Stewart	Have I Told You Lately	0
32	33	Shanice	Saving Forever for You	0
33	34	Duran Duran	Ordinary World	0
34	35	Tony! Toni! Toné!	If I Had No Loot	0
35	36	Meat Loaf	I'd Do Anything for Love (But I Won't Do That)	0
36	37	Onyx	Slam	0
37	38	P.M. Dawn	Looking Through Patient Eyes	0
38	39	Whitney Houston	I'm Every Woman	0
39	40	Shai	Baby I'm Yours	0
40	41	Duran Duran	Come Undone	0
41	42	Tina Turner	I Don't Wanna Fight	0
42	43	P.M. Dawn	I'd Die Without You	0
43	44	95 South	Whoot, There It Is	0
44	45	Naughty by Nature	Hip Hop Hooray	0
45	46	Toni Braxton	Another Sad Love Song	0
46	47	Michael Jackson	Will You Be There	0
47	48	Shai	Comforter	0
48	49	Bobby Brown	Good Enough	0
49	50	4 Non Blondes	What's Up?	0
50	51	Ace of Base	All That She Wants	0
51	52	Prince and The New Power Generation	7	0
52	53	Dr. Dre	Dre Day	0
53	54	Brian McKnight	One Last Cry	-1
54	55	Xscape	Just Kickin' It	0
55	56	2Pac	I Get Around	0
56	57	Bon Jovi	Bed of Roses	0
57	58	Mary J. Blige	Real Love	0
58	59	Portrait	Here We Go Again!	0
59	60	Aerosmith	Cryin'	0
60	61	Ugly Kid Joe	Cat's in the Cradle	0
61	62	TLC	What About Your Friends	0
62	63	Positive K	I Got a Man	0
63	64	Zhané	Hey Mr. D.J.	0
64	65	Cypress Hill	Insane in the Brain	0
65	66	Madonna	Deeper and Deeper	0
66	67	Madonna	Rain	0
67	68	Jeremy Jordan	The Right Kind of Love	0
68	69	Inner Circle	Bad Boys	0
69	70	Boy Krazy	That's What Love Can Do	0
70	71	Jon Secada	Do You Believe in Us	0
71	72	Jon Secada	Angel	0
72	73	Kenny G	Forever in Love	0
73	74	Janet Jackson	Again	0
74	75	DJ Jazzy Jeff & The Fresh Prince	Boom! Shake the Room	0
75	76	Restless Heart	When She Cries	0
76	77	Inner Circle	Sweat (A La La La La Long)	0
77	78	Ice Cube	It Was a Good Day	0
78	79	Captain Hollywood Project	More and More	0
79	80	The Heights	How Do You Talk to an Angel	0
80	81	Digable Planets	Rebirth of Slick (Cool Like Dat)	0
81	82	Haddaway	What Is Love	0
82	83	Michael Bolton	To Love Somebody	0
83	84	En Vogue	Give It Up, Turn It Loose	0
84	85	Kris Kross featuring Super Cat	Alright	0
85	86	Ice Cube featuring Das EFX	Check Yo Self	0
86	87	Sting	Fields of Gold	0
87	88	Dino	Ooh Child	0
88	89	Go West	Faithful	0
89	90	Rod Stewart	Reason to Believe	0
90	91	Tears for Fears	Break It Down Again	0
91	92	Joey Lawrence	Nothin' My Love Can't Fix	0
92	93	Green Jellÿ	Three Little Pigs	0
93	94	Aerosmith	Livin' on the Edge	0
94	95	Gin Blossoms	Hey Jealousy	0
95	96	Sting	If I Ever Lose My Faith in You	0
96	97	Tony! Toni! Toné!	Anniversary	0
97	98	Jade	One Woman	0
98	99	Taylor Dayne	Can't Get Enough of Your Love	0
99	100	Def Leppard	Two Steps Behind	0
