	Ranking	Artist	Title	Played
0	1	Faith Hill	Breathe	0
1	2	Santana featuring Rob Thomas	Smooth	0
2	3	Santana featuring The Product G&B	Maria Maria	0
3	4	Joe	I Wanna Know	0
4	5	Vertical Horizon	Everything You Want	0
5	6	Destiny's Child	Say My Name	0
6	7	Savage Garden	I Knew I Loved You	0
7	8	Lonestar	Amazed	0
8	9	Matchbox Twenty	Bent	0
9	10	Toni Braxton	He Wasn't Man Enough	0
10	11	Creed	Higher	0
11	12	Aaliyah	Try Again	0
12	13	Destiny's Child	Jumpin', Jumpin'	0
13	14	Sisqó	Thong Song	0
14	15	3 Doors Down	Kryptonite	0
15	16	Pink	There You Go	0
16	17	Madonna	Music	0
17	18	Janet Jackson	Doesn't Really Matter	0
18	19	Christina Aguilera	What a Girl Wants	0
19	20	Brian McKnight	Back at One	0
20	21	NSYNC	Bye Bye Bye	0
21	22	Marc Anthony	You Sang to Me	0
22	23	Marc Anthony	I Need to Know	0
23	24	Montell Jordan	Get It On Tonite	0
24	25	Sisqó	Incomplete	0
25	26	Macy Gray	I Try	0
26	27	'N Sync	It's Gonna Be Me	0
27	28	Celine Dion	That's the Way It Is	0
28	29	Nelly	Country Grammar (Hot Shit)	0
29	30	Blaque	Bring It All to Me	0
30	31	Backstreet Boys	Show Me the Meaning of Being Lonely	0
31	32	Missy Elliott featuring Nas, Eve and Q-Tip	Hot Boyz	0
32	33	BBMak	Back Here	0
33	34	Sonique	It Feels So Good	0
34	35	Nine Days	Absolutely (Story of a Girl)	0
35	36	Creed	With Arms Wide Open	0
36	37	Enrique Iglesias	Be with You	0
37	38	Christina Aguilera	Come On Over Baby (All I Want Is You)	0
38	39	Ruff Endz	No More	0
39	40	Blink 182	All the Small Things	0
40	41	Faith Hill	The Way You Love Me	0
41	42	Christina Aguilera	I Turn to You	0
42	43	Third Eye Blind	Never Let You Go	0
43	44	LeAnn Rimes	I Need You	0
44	45	Mariah Carey featuring Joe and 98 Degrees	Thank God I Found You	0
45	46	Jagged Edge	Let's Get Married	0
46	47	Whitney Houston	My Love Is Your Love	0
47	48	Smash Mouth	Then the Morning Comes	0
48	49	Eiffel 65	Blue (Da Ba Dee)	0
49	50	Sting featuring Cheb Mami	Desert Rose	0
50	51	Eminem	The Real Slim Shady	0
51	52	Pink	Most Girls	0
52	53	Next	Wifey	0
53	54	Everclear	Wonderful	0
54	55	Britney Spears	Oops!... I Did It Again	0
55	56	Jessica Simpson	I Wanna Love You Forever	0
56	57	98 Degrees	Give Me Just One Night (Una Noche)	0
57	58	Filter	Take a Picture	0
58	59	Red Hot Chili Peppers	Otherside	0
59	60	Jay-Z featuring UGK	Big Pimpin'	0
60	61	Son by Four	Purest of Pain (A Puro Dolor)	0
61	62	Jagged Edge	He Can't Love U	0
62	63	Avant	Separated	0
63	64	Carl Thomas	I Wish	0
64	65	Donell Jones	U Know What's Up	0
65	66	soulDecision featuring Thrust	Faded	0
66	67	Kid Rock	Only God Knows Why	0
67	68	Mystikal	Shake Ya Ass	0
68	69	Erykah Badu	Bag Lady	0
69	70	Train	Meet Virginia	0
70	71	DMX	Party Up (Up in Here)	0
71	72	Mýa	Case of the Ex (Whatcha Gonna Do)	0
72	73	Dr. Dre featuring Eminem	Forgot About Dre	0
73	74	Jo Dee Messina	That's the Way	0
74	75	Westlife	Swear It Again	0
75	76	Dr. Dre featuring Snoop Dogg	The Next Episode	0
76	77	Britney Spears	From the Bottom of My Broken Heart	0
77	78	Savage Garden	Crash and Burn	0
78	79	Chad Brock	Yes!	0
79	80	George Strait	The Best Day	0
80	81	Donell Jones	Where I Wanna Be	0
81	82	Toby Keith	How Do You Like Me Now?!	0
82	83	Tim McGraw	My Best Friend	0
83	84	Goo Goo Dolls	Broadway	0
84	85	Da Brat featuring Tyrese	What'chu Like	0
85	86	Kandi	Don't Think I'm Not	0
86	87	Lee Ann Womack with Sons of the Desert	I Hope You Dance	0
87	88	Alice Deejay	Better Off Alone	0
88	89	Debelah Morgan	Dance with Me	0
89	90	Lonestar	What About Now	0
90	91	Sammie	I Like It	0
91	92	Kevon Edmonds	24/7	0
92	93	LFO	Girl on TV	0
93	94	Lil' Bow Wow featuring Xscape	Bounce with Me	0
94	95	Dixie Chicks	Cowboy Take Me Away	0
95	96	Aaliyah	I Don't Wanna	0
96	97	Destiny's Child	Independent Women Part I	0
97	98	Samantha Mumba	Gotta Tell You	0
98	99	Jennifer Lopez	Waiting for Tonight	0
99	100	Mary Mary	Shackles (Praise You)	0
