	Ranking	Artist	Title	Played
0	1	Morgan Wallen	Last Night	0
1	2	Miley Cyrus	Flowers	0
2	3	SZA	Kill Bill	0
3	4	Taylor Swift	Anti-Hero	0
4	5	Metro Boomin, the Weeknd and 21 Savage	Creepin'	0
5	6	Rema and Selena Gomez	Calm Down	0
6	7	The Weeknd and Ariana Grande	Die for You	0
7	8	Luke Combs	Fast Car	0
8	9	SZA	Snooze	0
9	10	David Guetta and Bebe Rexha	I'm Good (Blue)	0
10	11	Sam Smith and Kim Petras	Unholy	0
11	12	Morgan Wallen	You Proof	0
12	13	Zach Bryan	Something in the Orange	0
13	14	Drake and 21 Savage	Rich Flex	0
14	15	Harry Styles	As It Was	0
15	16	Bailey Zimmerman	Rock and a Hard Place	0
16	17	Chris Brown	Under the Influence	0
17	18	Taylor Swift	Cruel Summer	0
18	19	Morgan Wallen	Thinkin' Bout Me	0
19	20	PinkPantheress and Ice Spice	Boy's a Liar Pt. 2	0
20	21	Toosii	Favorite Song	0
21	22	Morgan Wallen	Thought You Should Know	0
22	23	Kane Brown and Katelyn Brown	Thank God	0
23	24	Miguel	Sure Thing	0
24	25	Lil Durk featuring J. Cole	All My Life	0
25	26	Eslabon Armado and Peso Pluma	Ella Baila Sola	0
26	27	Taylor Swift featuring Ice Spice	Karma	0
27	28	Lil Uzi Vert	Just Wanna Rock	0
28	29	Beyoncé	Cuff It	0
29	30	Olivia Rodrigo	Vampire	0
30	31	Gunna	FukUMean	0
31	32	Taylor Swift	Lavender Haze	0
32	33	Coi Leray	Players	0
33	34	Jelly Roll	Need a Favor	0
34	35	Dua Lipa	Dance the Night	0
35	36	Luke Combs	Love You Anyway	0
36	37	Morgan Wallen	One Thing at a Time	0
37	38	Metro Boomin, Future and Chris Brown	Superhero (Heroes & Villains)	0
38	39	Steve Lacy	Bad Habit	0
39	40	Yng Lvcas and Peso Pluma	La Bebé	0
40	41	Jvke	Golden Hour	0
41	42	Bailey Zimmerman	Religiously	0
42	43	Drake and 21 Savage	Spin Bout U	0
43	44	Fifty Fifty	Cupid	0
44	45	Drake	Search & Rescue	0
45	46	Nicki Minaj and Ice Spice with Aqua	Barbie World	0
46	47	Jordan Davis	Next Thing You Know	0
47	48	Raye featuring 070 Shake	Escapism	0
48	49	Grupo Frontera and Bad Bunny	Un x100to	0
49	50	Stephen Sanchez	Until I Found You	0
50	51	SZA	Shirt	0
51	52	Doja Cat	Paint the Town Red	0
52	53	Meghan Trainor	Made You Look	0
53	54	Hardy featuring Lainey Wilson	Wait in the Truck	0
54	55	Mariah Carey	All I Want for Christmas Is You	0
55	56	Morgan Wallen	Everything I Love	0
56	57	Post Malone	Chemical	0
57	58	Lainey Wilson	Heart Like a Truck	0
58	59	Luke Combs	Going, Going, Gone	0
59	60	Brenda Lee	Rockin' Around the Christmas Tree	0
60	61	Tyler Hubbard	Dancin' in the Country	0
61	62	David Kushner	Daylight	0
62	63	Rihanna	Lift Me Up	0
63	64	Ed Sheeran	Eyes Closed	0
64	65	Karol G and Shakira	TQG	0
65	66	Jason Aldean	Try That in a Small Town	0
66	67	Megan Moroney	Tennessee Orange	0
67	68	Bobby Helms	Jingle Bell Rock	0
68	69	Ice Spice and Nicki Minaj	Princess Diana	0
69	70	GloRilla and Cardi B	Tomorrow 2	0
70	71	Burl Ives	A Holly Jolly Christmas	0
71	72	Bad Bunny	Where She Goes	0
72	73	Fuerza Regida and Grupo Frontera	Bebe Dame	0
73	74	Zach Bryan featuring Kacey Musgraves	I Remember Everything	0
74	75	Post Malone featuring Doja Cat	I Like You (A Happier Song)	0
75	76	Doechii featuring Kodak Black	What It Is (Block Boy)	0
76	77	SZA	Nobody Gets Me	0
77	78	Oliver Anthony Music	Rich Men North of Richmond	0
78	79	Nicki Minaj	Super Freaky Girl	0
79	80	Noah Kahan and Post Malone	Dial Drunk	0
80	81	Billie Eilish	What Was I Made For?	0
81	82	Jungkook featuring Latto	Seven	0
82	83	Future featuring Drake and Tems	Wait for U	0
83	84	Wham!	Last Christmas	0
84	85	Parker McCollum	Handle on You	0
85	86	Peso Pluma	Por Las Noches	0
86	87	Old Dominion	Memory Lane	0
87	88	Kaliii	Area Codes	0
88	89	Kane Brown	Bury Me in Georgia	0
89	90	Peso Pluma and Natanael Cano	PRC	0
90	91	Jordan Davis	What My World Spins Around	0
91	92	Morgan Wallen	Ain't That Some	0
92	93	Corey Kent	Wild as Her	0
93	94	Young Nudy featuring 21 Savage	Peaches & Eggplants	0
94	95	Morgan Wallen	I Wrote the Book	0
95	96	Bizarrap and Shakira	Bzrp Music Sessions, Vol. 53	0
96	97	Travis Scott featuring Drake	Meltdown	0
97	98	Latto featuring Cardi B	Put It on da Floor Again	0
98	99	Lady Gaga	Bloody Mary	0
99	100	Lainey Wilson	Watermelon Moonshine	0
