	Ranking	Artist	Title	Played
0	1	Next	Too Close	0
1	2	Brandy and Monica	The Boy Is Mine	0
2	3	Shania Twain	You're Still the One	0
3	4	Savage Garden	Truly Madly Deeply	0
4	5	LeAnn Rimes	How Do I Live	0
5	6	Janet	Together Again	0
6	7	K-Ci & JoJo	All My Life	0
7	8	Elton John	Candle in the Wind 1997/Something About the Way You Look Tonight	0
8	9	Usher	Nice & Slow	0
9	10	Paula Cole	I Don't Want to Wait	0
10	11	Third Eye Blind	How's It Going to Be	0
11	12	Destiny's Child	No, No, No	0
12	13	Celine Dion	My Heart Will Go On	0
13	14	Will Smith	Gettin' Jiggy wit It	0
14	15	Usher	You Make Me Wanna...	0
15	16	Usher	My Way	0
16	17	Mariah Carey	My All	0
17	18	Monica	The First Night	0
18	19	Puff Daddy f. The Notorious B.I.G. and Mase	Been Around the World	0
19	20	Sarah McLachlan	Adia	0
20	21	Jennifer Paige	Crush	0
21	22	Backstreet Boys	Everybody (Backstreet's Back)	0
22	23	Aerosmith	I Don't Want to Miss a Thing	0
23	24	Public Announcement	Body Bumpin' (Yippie-Yi-Yo)	0
24	25	Faith Hill	This Kiss	0
25	26	Uncle Sam	I Don't Ever Want to See You Again	0
26	27	Montell Jordan featuring Master P and Silkk the Shocker	Let's Ride	0
27	28	Marcy Playground	Sex and Candy	0
28	29	Robyn	Show Me Love	0
29	30	Boyz II Men	A Song for Mama	0
30	31	Mase featuring Total	What You Want	0
31	32	Madonna	Frozen	0
32	33	Wyclef Jean	Gone till November	0
33	34	LSG	My Body	0
34	35	Chumbawamba	Tubthumping	0
35	36	Lord Tariq and Peter Gunz	Deja Vu (Uptown Baby)	0
36	37	NSYNC	I Want You Back	0
37	38	Five	When the Lights Go Out	0
38	39	Jon B.	They Don't Know	0
39	40	Master P f. Fiend, Silkk the Shocker, Mia X and Mystikal	Make 'Em Say Uhh!	0
40	41	Nicole featuring Missy Elliott and Mocha	Make It Hot	0
41	42	All Saints	Never Ever	0
42	43	Janet featuring Blackstreet	I Get Lonely	0
43	44	Mase	Feel So Good	0
44	45	Voices of Theory	Say It	0
45	46	Billie Myers	Kiss the Rain	0
46	47	Puff Daddy featuring Jimmy Page	Come with Me	0
47	48	Sylk-E. Fyne featuring Chill	Romeo and Juliet	0
48	49	Mýa and Sisqo	It's All About Me	0
49	50	Hanson	I Will Come to You	0
50	51	Barenaked Ladies	One Week	0
51	52	K. P. & Envyi	Swing My Way	0
52	53	Xscape	The Arms of the One Who Loves You	0
53	54	Somethin' for the People featuring Trina & Tamara	My Love Is the Shhh!	0
54	55	Tatyana Ali	Daydreamin'	0
55	56	Dru Hill	We're Not Making Love No More	0
56	57	Third Eye Blind	Semi-Charmed Life	0
57	58	Lisa Loeb	I Do	0
58	59	Mase featuring Puff Daddy	Lookin' at Me	0
59	60	LeAnn Rimes	Looking Through Your Eyes	0
60	61	Divine	Lately	0
61	62	Backstreet Boys	Quit Playing Games (With My Heart)	0
62	63	Next	I Still Love You	0
63	64	INOJ	Time After Time	0
64	65	Jimmy Ray	Are You Jimmy Ray?	0
65	66	Ace of Base	Cruel Summer	0
66	67	Master P featuring Sons of Funk	I Got the Hook Up	0
67	68	Puff Daddy f. The Notorious B.I.G. and Busta Rhymes	Victory	0
68	69	Spice Girls	Too Much	0
69	70	Pras Michel featuring Ol' Dirty Bastard and Mýa	Ghetto Supastar (That Is What You Are)	0
70	71	Dru Hill featuring Redman	How Deep Is Your Love	0
71	72	Kelly Price	Friend of Mine	0
72	73	Busta Rhymes	Turn It Up (Remix)/Fire It Up	0
73	74	Edwin McCain	I'll Be	0
74	75	Madonna	Ray of Light	0
75	76	Sister Hazel	All for You	-1
76	77	Monifah	Touch It	0
77	78	The Lox featuring DMX and Lil' Kim	Money, Power & Respect	0
78	79	The Verve	Bitter Sweet Symphony	0
79	80	Busta Rhymes	Dangerous	0
80	81	Spice Girls	Spice Up Your Life	0
81	82	98 Degrees	Because of You	0
82	83	Loreena McKennitt	The Mummers' Dance	0
83	84	Allure featuring 112	All Cried Out	0
84	85	Big Punisher featuring Joe	Still Not a Player	0
85	86	Aaliyah	The One I Gave My Heart To	0
86	87	Jewel	Foolish Games / You Were Meant for Me	0
87	88	INOJ	Love You Down	0
88	89	2Pac featuring Eric Williams	Do for Love	0
89	90	Luke featuring No Good But So Good	Raise the Roof	0
90	91	Nu Flavor	Heaven	0
91	92	JD featuring Da Brat	The Party Continues	0
92	93	Missy Elliott featuring Da Brat	Sock It 2 Me	0
93	94	Next	Butta Love	0
94	95	Aretha Franklin	A Rose Is Still a Rose	0
95	96	Boyz II Men	4 Seasons of Loneliness	-1
96	97	LL Cool J	Father	0
97	98	Gerald Levert	Thinkin' Bout It	0
98	99	Deborah Cox	Nobody's Supposed to Be Here	0
99	100	TQ	Westside	0
